,open,high,low,close,adjclose,volume,ticker,MFI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,%B,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0
2022-01-03,49.54999923706055,50.5,49.5,50.20000076293945,45.58275604248047,394180,ARR,,,,,,,,,,
2022-01-04,50.349998474121094,50.849998474121094,50.04999923706055,50.150001525878906,45.537357330322266,402400,ARR,,,,,,,,,,
2022-01-05,50.400001525878906,50.70000076293945,49.45000076293945,49.5,44.9471321105957,376680,ARR,,,,,,,,,,
2022-01-06,50.099998474121094,50.400001525878906,49.599998474121094,50.150001525878906,45.537357330322266,202580,ARR,,,,,,,,,,
2022-01-07,50.25,50.5,50.099998474121094,50.349998474121094,45.71894836425781,286240,ARR,,,,,0.7378680440391405,49.48144301305001,50.07000045776367,50.65855790247733,2.3509384435102323,0.7378680440391405
2022-01-10,50.45000076293945,50.70000076293945,49.79999923706055,50.349998474121094,45.71894836425781,399740,ARR,,,,,0.6996479566849698,49.47390174617321,50.1,50.72609825382679,2.4993942268534517,0.6996479566849698
2022-01-11,50.45000076293945,50.599998474121094,50.04999923706055,50.400001525878906,45.76435089111328,329920,ARR,,,,,0.6859274967807968,49.477690819788606,50.15,50.82230918021139,2.681193141421307,0.6859274967807968
2022-01-12,50.599998474121094,50.650001525878906,50.04999923706055,50.150001525878906,45.537357330322266,398420,ARR,,,,,0.19824568615276075,50.06459529962765,50.28000030517578,50.49540531072392,0.856821814800034,0.19824568615276075
2022-01-13,50.25,50.349998474121094,49.54999923706055,49.599998474121094,45.037933349609375,542000,ARR,,,,,0.021261554580950453,49.57468379095505,50.16999969482422,50.76531559869339,2.3731947677511607,0.021261554580950453
2022-01-14,49.04999923706055,49.099998474121094,48.150001525878906,48.599998474121094,44.219058990478516,669460,ARR,,,,,0.04664076570801635,48.47448698831851,49.81999969482422,51.16551240132993,5.401496245474659,0.04664076570801635
2022-01-18,48.599998474121094,49.349998474121094,48.099998474121094,48.29999923706055,43.946109771728516,383520,ARR,,,,,0.16602629291706603,47.748191467275284,49.40999984741211,51.071808227548935,6.726607509689617,0.16602629291706603
2022-01-19,48.400001525878906,48.400001525878906,47.650001525878906,47.75,43.44569778442383,395480,ARR,,,,,0.1769267985836344,47.131170581365595,48.87999954223633,50.62882850310706,7.155601379904271,0.1769267985836344
2022-01-20,47.79999923706055,47.95000076293945,47.099998474121094,47.20000076293945,42.94527053833008,435700,ARR,,,,,0.16416845676131905,46.66716399992106,48.289999389648436,49.912834779375814,6.721206917535198,0.16416845676131905
2022-01-21,46.900001525878906,47.29999923706055,46.150001525878906,46.20000076293945,42.03540802001953,494380,ARR,23.516150082197143,,,,0.0864087604652356,45.90541939491181,47.60999984741211,49.314580299912414,7.16059843714936,0.0864087604652356
2022-01-24,45.349998474121094,45.650001525878906,43.29999923706055,45.29999923706055,41.21653366088867,1209740,ARR,19.478421751473753,,,,0.11733292120161229,44.7940779801066,46.95,49.105922019893406,9.183906368023015,0.11733292120161229
2022-01-25,44.79999923706055,47.150001525878906,44.70000076293945,47.0,42.76329040527344,626580,ARR,21.650143603417465,,,,0.5906819767356633,44.980730799562245,46.69000015258789,48.39926950561354,7.321779170869876,0.5906819767356633
2022-01-26,47.54999923706055,47.900001525878906,46.099998474121094,46.5,42.30836868286133,503160,ARR,28.50247902086089,,,,0.522350678905111,45.097762458895566,46.44000015258789,47.78223784628022,5.780524070982497,0.522350678905111
2022-01-27,47.0,47.0,45.20000076293945,45.5,41.39850997924805,456360,ARR,24.609944572751242,,,,0.26163443535161,44.84142894573498,46.1,47.35857105426502,5.460178109609627,0.26163443535161
2022-01-28,45.25,45.95000076293945,44.54999923706055,45.95000076293945,41.807952880859375,378360,ARR,20.202125392214924,,,,0.46027270516246815,44.79142906697398,46.05,47.30857093302601,5.466106115205275,0.46027270516246815
2022-01-31,45.25,46.95000076293945,45.25,46.900001525878906,42.67230224609375,559620,ARR,27.3134200216581,,,,0.7322065281559588,45.22877270606312,46.37000045776367,47.51122820946423,4.922267588675344,0.7322065281559588
2022-02-01,46.95000076293945,47.0,45.849998474121094,46.599998474121094,42.39935302734375,508700,ARR,28.752531747778924,,,,0.6548752855006282,45.289200313765505,46.29000015258789,47.29079999141028,4.324043359357982,0.6548752855006282
2022-02-02,46.599998474121094,46.599998474121094,45.349998474121094,46.099998474121094,41.94441604614258,386780,ARR,28.934587576312232,,,,0.4441437654840188,45.22531681028811,46.20999984741211,47.1946828845361,4.261774682430077,0.4441437654840188
2022-02-03,46.0,46.25,45.400001525878906,45.650001525878906,41.53498840332031,394500,ARR,29.687541056540372,,,,0.1729488147532244,45.33800276911441,46.24000015258789,47.14199753606137,3.9013727530145643,0.1729488147532244
2022-02-04,45.54999923706055,45.75,44.650001525878906,45.54999923706055,41.44399642944336,505980,ARR,30.541132952710488,,,,0.20940493432604518,45.110428326063605,46.15999984741211,47.20957136876061,4.547536935953204,0.20940493432604518
2022-02-07,45.79999923706055,46.29999923706055,45.400001525878906,45.5,41.39850997924805,590280,ARR,37.66984900536163,,,,0.27264645761586587,45.0442977135965,45.87999954223633,46.715701370876154,3.642989699119307,0.27264645761586587
2022-02-08,45.599998474121094,46.29999923706055,45.54999923706055,46.20000076293945,42.03540802001953,388280,ARR,43.017820810617074,-1.39242129966442,,,0.8429979784312275,45.21690507219759,45.8,46.383094927802404,2.5462660602725173,0.8429979784312275
2022-02-09,46.400001525878906,46.54999923706055,45.95000076293945,46.04999923706055,41.89893341064453,388300,ARR,48.653060929888376,-1.314275462870178,,,0.730675507285227,45.22643992130775,45.79000015258789,46.353560383868036,2.46149914567446,0.730675507285227
2022-02-10,45.75,46.25,45.04999923706055,45.150001525878906,41.08005905151367,572980,ARR,48.21961484427094,-1.3098672832211378,,,0.14837133045402243,44.922146627722825,45.69000015258789,46.45785367745296,3.3611447682237583,0.14837133045402243
2022-02-11,45.20000076293945,45.5,44.400001525878906,44.70000076293945,40.670623779296875,569180,ARR,52.61851219998516,-1.3273838154887514,,,0.13216481029342486,44.405371246406354,45.52000045776367,46.63462966912099,4.897316345115336,0.13216481029342486
2022-02-14,44.29999923706055,44.349998474121094,43.099998474121094,43.29999923706055,39.48515701293945,501760,ARR,44.37736233110194,-1.4376617466461639,,,0.07620954008329618,42.979904578073885,45.08000030517578,47.180096032277675,9.317194822027435,0.07620954008329618
2022-02-15,43.54999923706055,44.150001525878906,43.5,43.650001525878906,39.80432891845703,468620,ARR,43.817160710016964,-1.4797578150073818,,,0.2700692092660274,42.56940077959966,44.57000045776367,46.57060013592768,8.977337480890792,0.2700692092660274
2022-02-16,43.599998474121094,44.099998474121094,43.5,43.849998474121094,39.9866943359375,343260,ARR,49.7447432549608,-1.4799215557154284,,,0.39817519310413035,42.75508077627831,44.130000305175784,45.504919834073256,6.231223745249848,0.39817519310413035
2022-02-17,44.04999923706055,44.04999923706055,42.29999923706055,42.75,38.98360061645508,599120,ARR,48.35093819569441,-1.5509338057075652,,,0.15073239185191256,42.36158965360108,43.65,44.93841034639892,5.903369284760226,0.15073239185191256
2022-02-18,42.400001525878906,43.900001525878906,42.400001525878906,43.599998474121094,39.75872802734375,518720,ARR,47.75551080233046,-1.5210895784985041,-0.0973882048518897,-1.4237013736466144,0.6109991088116331,42.66423243966773,43.42999954223633,44.195766644804934,3.5264430607413786,0.6109991088116331
2022-02-22,42.900001525878906,43.5,40.95000076293945,41.349998474121094,37.70695495605469,903060,ARR,38.144727233094365,-1.6598601745199062,-0.18892704069863342,-1.4709331338212728,0.04344986522802128,41.189161128072406,43.039999389648436,44.890837651224466,8.600549664604202,0.04344986522802128
2022-02-23,41.45000076293945,41.79999923706055,40.0,40.0,36.475894927978516,741200,ARR,36.71930161875311,-1.8573599764663342,-0.3091414741160492,-1.548218502350285,0.1012402612719803,39.413519249470774,42.30999908447266,45.20647891947454,13.691703605188035,0.1012402612719803
2022-02-24,38.150001525878906,41.20000076293945,37.54999923706055,40.900001525878906,37.29661178588867,921520,ARR,34.74463532998583,-1.9191347995569146,-0.29673303776530346,-1.622401761791611,0.34148986725225083,39.13342003984959,41.71999969482422,44.306579349798845,12.39971080486618,0.34148986725225083
2022-02-25,41.20000076293945,41.45000076293945,40.29999923706055,40.849998474121094,37.25100326538086,734940,ARR,42.51394713040877,-1.9496522428643317,-0.26180038485817647,-1.6878518580061552,0.39887399672654905,38.91727477052969,41.33999938964844,43.762724008767194,11.720970754176667,0.39887399672654905
2022-02-28,40.45000076293945,40.75,39.849998474121094,40.650001525878906,37.068634033203125,620840,ARR,35.09364187774027,-1.9672978340006892,-0.22355678079562713,-1.7437410532050621,0.4430943781354729,39.871365597592835,40.75,41.628634402407165,4.31231608543394,0.4430943781354729
