,open,high,low,close,adjclose,volume,ticker,MFI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,%B,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0
2022-01-03,30.729999542236328,31.3700008392334,30.719999313354492,31.110000610351562,25.77420997619629,1178000,BXMT,,,,,,,,,,
2022-01-04,31.270000457763672,31.600000381469727,31.040000915527344,31.290000915527344,25.923336029052734,1143300,BXMT,,,,,,,,,,
2022-01-05,31.31999969482422,31.459999084472656,30.809999465942383,30.81999969482422,25.533946990966797,1060300,BXMT,,,,,,,,,,
2022-01-06,31.020000457763672,31.350000381469727,30.8700008392334,31.1200008392334,25.782495498657227,976800,BXMT,,,,,,,,,,
2022-01-07,31.200000762939453,31.549999237060547,31.200000762939453,31.309999465942383,25.93990707397461,1029300,BXMT,,,,,0.7559118503429799,30.77831834803827,31.13000030517578,31.481682262313292,2.259440756118719,0.7559118503429799
2022-01-10,31.350000381469727,31.56999969482422,31.1299991607666,31.40999984741211,26.02275276184082,1064100,BXMT,,,,,0.7654801981599325,30.77565720658089,31.190000152587892,31.604343098594892,2.6568960819490184,0.7654801981599325
2022-01-11,31.5,31.969999313354492,31.420000076293945,31.940000534057617,26.46185302734375,1304600,BXMT,,,,,0.9195016597045496,30.581027484146947,31.320000076293944,32.05897266844094,4.718854344488473,0.9195016597045496
2022-01-12,32.0,32.310001373291016,31.8700008392334,31.989999771118164,26.50327491760254,1126900,BXMT,,,,,0.8126507622235921,30.856736991241426,31.554000091552734,32.25126319186404,4.419491020398205,0.8126507622235921
2022-01-13,32.20000076293945,32.45000076293945,31.8700008392334,31.950000762939453,26.470136642456055,972000,BXMT,,,,,0.6941862065773644,31.12778322758108,31.720000076293946,32.312216925006815,3.734028040910775,0.6941862065773644
2022-01-14,31.8799991607666,31.950000762939453,31.469999313354492,31.90999984741211,26.43699836730957,1234500,BXMT,,,,,0.5808243203255131,31.406964065539444,31.84000015258789,32.27303623963633,2.720075910635623,0.5808243203255131
2022-01-18,31.8700008392334,32.16999816894531,31.700000762939453,31.770000457763672,26.321008682250977,1319500,BXMT,,,,,0.029625909695142956,31.76105678114807,31.912000274658205,32.06294376816834,0.9459983217034528,0.029625909695142956
2022-01-19,31.850000381469727,31.860000610351562,31.239999771118164,31.25,25.89019775390625,1160900,BXMT,,,,,0.018902216785042277,31.229412158788495,31.77400016784668,32.31858817690487,3.4278844727222957,0.018902216785042277
2022-01-20,31.219999313354492,31.610000610351562,30.790000915527344,30.81999969482422,25.533946990966797,957400,BXMT,,,,,0.08929362427906372,30.66346097481178,31.54000015258789,32.416539330363996,5.558269965348665,0.08929362427906372
