,open,high,low,close,adjclose,volume,ticker,MFI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,%B,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0
2022-01-03,116.5999984741211,120.0,116.0199966430664,119.94000244140625,108.65895080566406,1100900,BXP,,,,,,,,,,
2022-01-04,121.18000030517578,124.8499984741211,121.18000030517578,123.93000030517578,112.27367401123047,1242600,BXP,,,,,,,,,,
2022-01-05,124.27999877929688,125.33999633789062,121.88999938964844,122.26000213623047,110.76075744628906,1042800,BXP,,,,,,,,,,
2022-01-06,123.44999694824219,124.9800033569336,122.18000030517578,124.80000305175781,113.06184387207031,1045200,BXP,,,,,,,,,,
2022-01-07,125.0,128.0,124.8499984741211,125.62999725341797,113.81377410888672,1099000,BXP,,,,,0.7865700760134445,119.2676216521667,123.31200103759765,127.35638042302861,6.559587633644567,0.7865700760134445
2022-01-10,125.83000183105469,126.16999816894531,124.4000015258789,125.11000061035156,113.34270477294922,590300,BXP,,,,,0.6618538455137072,121.98584686552567,124.34600067138672,126.70615447724776,3.7961073023945535,0.6618538455137072
2022-01-11,125.0,125.0,122.41999816894531,123.47000122070312,111.85694122314453,761300,BXP,,,,,0.34012554271275847,121.8020781174521,124.25400085449219,126.70592359153228,3.946629839165372,0.34012554271275847
2022-01-12,123.41999816894531,124.19000244140625,122.5999984741211,123.5199966430664,111.90222930908203,518600,BXP,,,,,0.21574872695916988,122.7716133057214,124.50599975585938,126.24038620599735,2.7860287111286035,0.21574872695916988
2022-01-13,123.51000213623047,126.41999816894531,123.37999725341797,125.70999908447266,113.8862533569336,700600,BXP,,,,,0.756588262386612,122.6964812823566,124.68799896240235,126.67951664244809,3.1944015408351465,0.756588262386612
2022-01-14,125.04000091552734,125.87000274658203,123.69000244140625,125.08000183105469,113.31550598144531,770100,BXP,,,,,0.6375314194261984,122.75295526187239,124.57799987792968,126.40304449398698,2.9299629434500556,0.6375314194261984
