,open,high,low,close,adjclose,volume,ticker,MFI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,%B,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0
2022-01-03,13.899999618530273,14.149999618530273,13.670000076293945,13.699999809265137,13.326924324035645,278600,CLDT,,,,,,,,,,
2022-01-04,13.720000267028809,14.020000457763672,13.649999618530273,13.710000038146973,13.336651802062988,242300,CLDT,,,,,,,,,,
2022-01-05,13.779999732971191,13.9399995803833,13.319999694824219,13.34000015258789,12.976728439331055,285100,CLDT,,,,,,,,,,
2022-01-06,13.329999923706055,13.710000038146973,13.3100004196167,13.539999961853027,13.171281814575195,316500,CLDT,,,,,,,,,,
2022-01-07,13.520000457763672,13.949999809265137,13.470000267028809,13.729999542236328,13.356106758117676,412600,CLDT,,,,,0.7122568191284593,13.307190493384416,13.603999900817872,13.900809308251327,4.363560858532663,0.7122568191284593
2022-01-10,13.609999656677246,13.770000457763672,13.210000038146973,13.4399995803833,13.074004173278809,378400,CLDT,,,,,0.3147922259988468,13.249635995688855,13.551999855041505,13.854363714394154,4.462276602521749,0.3147922259988468
2022-01-11,13.4399995803833,13.75,13.289999961853027,13.649999618530273,13.278285026550293,188600,CLDT,,,,,0.6962284029609013,13.259714537807607,13.539999771118165,13.820285004428722,4.140106913567711,0.6962284029609013
2022-01-12,13.619999885559082,13.880000114440918,13.479999542236328,13.520000457763672,13.151825904846191,344300,CLDT,,,,,0.36287819173175956,13.371804106116434,13.57599983215332,13.780195558190206,3.0081869263620655,0.36287819173175956
2022-01-13,13.489999771118164,13.84000015258789,13.430000305175781,13.75,13.375561714172363,280500,CLDT,,,,,0.7744672932466808,13.377533737873357,13.617999839782716,13.858465941692074,3.531592080165505,0.7744672932466808
2022-01-14,13.460000038146973,13.84000015258789,13.460000038146973,13.829999923706055,13.453383445739746,214700,CLDT,,,,,0.8349525474866017,13.351392142721728,13.63799991607666,13.924607689431593,4.20307633257975,0.8349525474866017
2022-01-18,13.859999656677246,13.930000305175781,13.649999618530273,13.760000228881836,13.38529109954834,265900,CLDT,,,,,0.6347691732577836,13.486816626217479,13.702000045776368,13.917183465335256,3.1409052523718066,0.6347691732577836
2022-01-19,13.75,13.800000190734863,13.470000267028809,13.630000114440918,13.258830070495605,253300,CLDT,,,,,0.3451724968736365,13.4784008194366,13.698000144958495,13.917599470480392,3.2062976083807246,0.3451724968736365
2022-01-20,13.640000343322754,13.899999618530273,13.25,13.25,12.889179229736328,239400,CLDT,,,,,0.02468116880080587,13.22954134953774,13.644000053405762,14.058458757273783,6.075325450685056,0.02468116880080587
2022-01-21,13.220000267028809,13.449999809265137,13.039999961853027,13.100000381469727,12.743263244628906,437200,CLDT,44.58493995438887,,,,0.14071174464040787,12.93786141370462,13.514000129699706,14.090138845694792,8.526545959236838,0.14071174464040787
2022-01-24,12.90999984741211,13.09000015258789,12.529999732971191,13.039999961853027,12.684897422790527,274900,CLDT,41.7604461249248,,,,0.225760435858709,12.77986121210592,13.3560001373291,13.932139062552281,8.627417180281565,0.225760435858709
2022-01-25,12.819999694824219,13.119999885559082,12.539999961853027,13.050000190734863,12.694624900817871,274100,CLDT,47.918440437643355,,,,0.3145992271646794,12.771715190816215,13.214000129699707,13.6562850685832,6.694186991710643,0.3145992271646794
2022-01-26,13.079999923706055,13.390000343322754,12.670000076293945,12.779999732971191,12.431977272033691,596400,CLDT,57.705971855259904,,,,0.06541293372153306,12.740263079943453,13.044000053405762,13.34773702686807,4.657113956128874,0.06541293372153306
2022-01-27,12.869999885559082,13.050000190734863,12.430000305175781,12.569999694824219,12.22769546508789,312100,CLDT,58.01610054084348,,,,0.08276575502243234,12.502951387641913,12.907999992370605,13.313048597099298,6.275931282431059,0.08276575502243234
2022-01-28,12.5,12.789999961853027,12.079999923706055,12.779999732971191,12.431977272033691,291000,CLDT,50.219181530956455,,,,0.4116869843710872,12.481651633228521,12.843999862670898,13.206348092113275,5.6422957539183125,0.4116869843710872
2022-01-31,12.640000343322754,13.270000457763672,12.5600004196167,13.270000457763672,12.908634185791016,320400,CLDT,58.39719678784281,,,,0.8900525059856507,12.402885419478283,12.889999961853027,13.377114504227771,7.558022402115169,0.8900525059856507
2022-02-01,13.25,13.399999618530273,13.0,13.210000038146973,12.85026741027832,346500,CLDT,59.825593023465,,,,0.765294456681136,12.379206632119104,12.92199993133545,13.464793230551795,8.40107262189483,0.765294456681136
2022-02-02,13.220000267028809,13.510000228881836,13.15999984741211,13.489999771118164,13.122641563415527,591000,CLDT,61.913209403018456,,,,0.8154476638636305,12.388769336627144,13.063999938964844,13.739230541302545,10.33727197630719,0.8154476638636305
2022-02-03,13.4399995803833,13.829999923706055,13.430000305175781,13.550000190734863,13.181009292602539,560900,CLDT,64.11110231340861,,,,0.766515344567959,12.71594102147384,13.260000038146973,13.804059054820106,8.206018327420198,0.766515344567959
2022-02-04,13.449999809265137,14.119999885559082,13.449999809265137,14.0600004196167,13.67712116241455,608100,CLDT,66.87876777249475,,,,0.9523693924925227,12.914721383001607,13.516000175476075,14.117278967950542,8.89728891192898,0.9523693924925227
2022-02-07,14.09000015258789,14.59000015258789,14.09000015258789,14.4399995803833,14.046772003173828,506200,CLDT,68.47662654876514,,,,0.8913585793454201,12.868456044150888,13.75,14.631543955849112,12.822457539623453,0.8913585793454201
