,open,high,low,close,adjclose,volume,ticker,MFI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,%B,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0
2022-01-03,227.0,227.17999267578125,215.2100067138672,219.22999572753906,204.93460083007812,607700,EXR,,,,,,,,,,
2022-01-04,219.36000061035156,224.35000610351562,219.36000061035156,221.58999633789062,207.14068603515625,752700,EXR,,,,,,,,,,
2022-01-05,220.80999755859375,221.52000427246094,217.1699981689453,217.74000549316406,203.54173278808594,688200,EXR,,,,,,,,,,
2022-01-06,217.3699951171875,219.5399932861328,214.64999389648438,217.64999389648438,203.4575958251953,663800,EXR,,,,,,,,,,
2022-01-07,217.0,217.83999633789062,208.0399932861328,208.4499969482422,194.85751342773438,890200,EXR,,,,,0.02605610373863889,207.98368038052482,216.93199768066407,225.88031498080332,8.249882355586537,0.02605610373863889
2022-01-10,204.3300018310547,208.67999267578125,203.49000549316406,208.50999450683594,194.91360473632812,818000,EXR,,,,,0.20626943969826686,204.10132778383485,214.78799743652343,225.474667089212,9.950900218106296,0.20626943969826686
2022-01-11,209.44000244140625,210.36000061035156,206.17999267578125,210.05999755859375,196.36253356933594,554900,EXR,,,,,0.3590371109099053,203.8910836546245,212.48199768066405,221.0729117067036,8.086251183453852,0.3590371109099053
2022-01-12,209.83999633789062,212.88999938964844,209.77999877929688,211.7100067138672,197.90496826171875,489100,EXR,,,,,0.5318760605518618,204.46824342897602,211.2759979248047,218.08375242063337,6.444418261133122,0.5318760605518618
2022-01-13,211.9600067138672,212.0,206.02999877929688,206.61000061035156,193.1374969482422,594500,EXR,,,,,0.14160819844891176,205.6387932330252,209.06799926757813,212.49720530213105,3.2804695568583977,0.14160819844891176
2022-01-14,206.27000427246094,206.4499969482422,200.44000244140625,203.61000061035156,190.33311462402344,886900,EXR,,,,,0.10023771692546436,202.4841633143624,208.1,213.71583668563758,5.397248136124546,0.10023771692546436
2022-01-18,201.86000061035156,201.86000061035156,197.72000122070312,200.2100067138672,187.1548309326172,758400,EXR,,,,,0.12817059719485227,198.06251039728755,206.44000244140625,214.81749448552495,8.116151855303794,0.12817059719485227
2022-01-19,201.39999389648438,203.1999969482422,198.3300018310547,198.41000366210938,185.4722137451172,679500,EXR,,,,,0.19886003090803256,194.64596603006189,204.11000366210936,213.57404129415684,9.273467700989872,0.19886003090803256
2022-01-20,200.3000030517578,202.02999877929688,195.0,195.3800048828125,182.63978576660156,529300,EXR,,,,,0.1520896116162661,192.9914087837459,200.84400329589843,208.69659780805097,7.819595689479964,0.1520896116162661
2022-01-21,197.22999572753906,198.25,194.99000549316406,195.47999572753906,182.73326110839844,603900,EXR,28.172662162117913,,,,0.24635229523844612,192.43224441006012,198.61800231933594,204.80376022861176,6.228798837006149,0.24635229523844612
2022-01-24,193.97999572753906,195.97999572753906,188.22999572753906,195.0,182.28457641601562,988300,EXR,25.54288857060426,,,,0.2696581097328027,192.78037608369536,196.89600219726563,201.0116283108359,4.180507544736149,0.2696581097328027
2022-01-25,193.0,197.49000549316406,190.0,195.47000122070312,182.7239227294922,1344500,EXR,28.82756181690092,,,,0.4038930590933883,193.46118863004037,195.9480010986328,198.43481356722523,2.5382371390873906,0.4038930590933883
2022-01-26,196.1199951171875,199.0500030517578,191.6300048828125,193.0500030517578,180.46170043945312,831800,EXR,36.20522995524602,,,,0.008959203158050988,193.01668711043538,194.8760009765625,196.7353148426896,1.9082019918406754,0.008959203158050988
