,open,high,low,close,adjclose,volume,ticker,MFI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,%B,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0
2022-01-03,25.760000228881836,26.1299991607666,25.270000457763672,25.56999969482422,21.97174644470215,305900,GOOD,,,,,,,,,,
2022-01-04,25.59000015258789,25.920000076293945,25.59000015258789,25.649999618530273,22.040491104125977,217700,GOOD,,,,,,,,,,
2022-01-05,25.770000457763672,25.8799991607666,25.239999771118164,25.299999237060547,21.7397403717041,196200,GOOD,,,,,,,,,,
2022-01-06,25.440000534057617,25.489999771118164,24.959999084472656,25.030000686645508,21.507740020751953,186500,GOOD,,,,,,,,,,
2022-01-07,25.030000686645508,25.059999465942383,24.760000228881836,24.760000228881836,21.275732040405273,117700,GOOD,,,,,0.12252169911670975,24.59706145416831,25.261999893188477,25.926938332208646,5.264337279959055,0.12252169911670975
2022-01-10,24.700000762939453,24.850000381469727,24.479999542236328,24.610000610351562,21.1468448638916,205300,GOOD,,,,,0.19234177506221484,24.322418135269285,25.070000076293944,25.817582017318603,5.96395643198716,0.19234177506221484
2022-01-11,24.559999465942383,25.229999542236328,24.209999084472656,24.5,21.052322387695312,184100,GOOD,,,,,0.20762531554632033,24.25855420212333,24.84000015258789,25.42144610305245,4.681529363066309,0.20762531554632033
2022-01-12,24.5,24.780000686645508,24.459999084472656,24.520000457763672,21.069509506225586,155600,GOOD,,,,,0.29062024760441807,24.29236764072306,24.684000396728514,25.075633152733968,3.173170877580753,0.29062024760441807
2022-01-13,24.5,25.049999237060547,24.5,24.899999618530273,21.396034240722656,141300,GOOD,,,,,0.898440051822099,24.354316562046137,24.658000183105468,24.9616838041648,2.4631650482945617,0.898440051822099
2022-01-14,24.75,24.8700008392334,24.600000381469727,24.68000030517578,21.206987380981445,151500,GOOD,,,,,0.5658456157392848,24.35344562730531,24.642000198364258,24.930554769423207,2.3419736120130645,0.5658456157392848
2022-01-18,24.700000762939453,24.860000610351562,24.559999465942383,24.59000015258789,21.129653930664062,209900,GOOD,,,,,0.41745893999200034,24.34723600577513,24.638000106811525,24.92876420784792,2.360289794430261,0.41745893999200034
2022-01-19,24.600000381469727,24.780000686645508,24.059999465942383,24.09000015258789,20.700014114379883,193000,GOOD,,,,,0.06174485984848172,24.02434637899543,24.5560001373291,25.087653895662772,4.330133208669207,0.06174485984848172
2022-01-20,24.0,24.0,23.079999923706055,23.1299991607666,19.978775024414062,256500,GOOD,,,,,0.046108662247776176,23.01337922792097,24.277999877929688,25.542620527938404,10.417832246208553,0.046108662247776176
2022-01-21,23.1299991607666,23.6200008392334,23.030000686645508,23.079999923706055,19.935588836669922,250900,GOOD,15.02749786911311,,,,0.19810635989522848,22.532718745082537,23.913999938964842,25.295281132847148,11.552071568183639,0.19810635989522848
2022-01-24,22.969999313354492,23.1200008392334,22.3799991607666,23.06999969482422,19.926956176757812,337400,GOOD,13.330881856722527,,,,0.29325165096902145,22.32959524506383,23.591999816894532,24.854404388725232,10.701971699123838,0.29325165096902145
2022-01-25,22.950000762939453,23.290000915527344,22.549999237060547,23.149999618530273,19.996051788330078,172000,GOOD,11.193726376818859,,,,0.40231823127507876,22.51572522671237,23.30399971008301,24.092274193453648,6.76514326448068,0.40231823127507876
2022-01-26,23.329999923706055,23.56999969482422,22.639999389648438,22.889999389648438,19.771469116210938,163200,GOOD,17.151369551384455,,,,0.027173624011662057,22.87999949247868,23.063999557495116,23.24799962251155,1.5955607747715173,0.027173624011662057
2022-01-27,23.219999313354492,23.420000076293945,22.510000228881836,22.549999237060547,19.477794647216797,144800,GOOD,17.52286940908672,,,,0.04092353042570851,22.514520226641448,22.947999572753908,23.381478918866367,3.777927088922631,0.04092353042570851
2022-01-28,22.549999237060547,23.049999237060547,22.25,23.049999237060547,19.9096736907959,218000,GOOD,16.981690515941132,,,,0.6265276026125429,22.515215874345003,22.941999435424805,23.368782996504606,3.720543732738516,0.6265276026125429
2022-01-31,23.0,23.190000534057617,22.770000457763672,23.190000534057617,20.03059959411621,236900,GOOD,25.093425899344204,,,,0.7410220297119496,22.501309858823973,22.965999603271484,23.430689347718996,4.0467626271431,0.7410220297119496
2022-02-01,23.200000762939453,23.239999771118164,22.84000015258789,23.149999618530273,19.996051788330078,197100,GOOD,31.930141499660344,,,,0.6979815752955277,22.501309858823973,22.965999603271484,23.430689347718996,4.0467626271431,0.6979815752955277
2022-02-02,23.149999618530273,23.399999618530273,22.959999084472656,23.0,19.866487503051758,183400,GOOD,38.070106696357406,,,,0.513083889688493,22.529410003786882,22.987999725341798,23.446589446896713,3.989818401201471,0.513083889688493
2022-02-03,22.989999771118164,22.989999771118164,22.520000457763672,22.56999969482422,19.49506950378418,195100,GOOD,32.38310393098798,,,,0.024059726433071974,22.54866675021829,22.99199981689453,23.435332883570773,3.8564115362464553,0.024059726433071974
2022-02-04,22.579999923706055,22.649999618530273,21.90999984741211,22.34000015258789,19.296403884887695,286800,GOOD,31.164952796153894,,,,0.12124644782602075,22.176739188999285,22.85,23.523260811000718,5.892873619262287,0.12124644782602075
2022-02-07,22.34000015258789,22.489999771118164,21.989999771118164,22.079999923706055,19.071826934814453,264500,GOOD,30.86272529126131,,,,0.15695923441891577,21.829261055598522,22.62799987792969,23.426738700260856,7.059738612693029,0.15695923441891577
2022-02-08,22.049999237060547,22.229999542236328,21.920000076293945,22.0,19.002731323242188,280800,GOOD,30.22572001904317,-0.9448699761164221,,,0.22506679559134193,21.6741878648842,22.397999954223632,23.121812043563065,6.463185023830146,0.22506679559134193
2022-02-09,22.170000076293945,22.329999923706055,22.049999237060547,22.329999923706055,19.287765502929688,283800,GOOD,38.746285984783775,-0.9126283065596965,,,0.581030477540383,21.85674586158193,22.263999938964844,22.671254016347756,3.658408897766532,0.581030477540383
2022-02-10,22.290000915527344,22.290000915527344,21.56999969482422,21.65999984741211,18.709049224853516,383500,GOOD,37.44106848237479,-0.9304147161947149,,,0.07825633480684678,21.58169592593853,22.08199996948242,22.582304013026313,4.531329084641952,0.07825633480684678
2022-02-11,21.739999771118164,22.06999969482422,21.510000228881836,21.649999618530273,18.700410842895508,252300,GOOD,38.57822859478684,-0.9345446597660612,,,0.21719039002804172,21.424215113896313,21.9439998626709,22.463784611445487,4.7373746994849055,0.21719039002804172
2022-02-14,21.549999237060547,21.65999984741211,21.18000030517578,21.309999465942383,18.40673065185547,318600,GOOD,31.936295957239118,-0.9542528082433215,,,0.15433790896690486,21.09567962779382,21.789999771118165,22.48431991444251,6.372832956562389,0.15433790896690486
2022-02-15,21.5,21.790000915527344,21.479999542236328,21.59000015258789,18.648588180541992,171600,GOOD,31.892427230222964,-0.9364827523236556,,,0.4122337603253425,21.035761538464914,21.707999801635744,22.380238064806573,6.193461114000698,0.4122337603253425
2022-02-16,21.5,22.040000915527344,21.309999465942383,21.950000762939453,18.95954132080078,296100,GOOD,38.76245292407355,-0.8831701783149768,,,0.8900812239584905,21.224391535743926,21.631999969482422,22.039608403220917,3.768569104230155,0.8900812239584905
2022-02-17,21.84000015258789,21.889999389648438,21.459999084472656,21.770000457763672,18.911758422851562,247600,GOOD,38.56398347131397,-0.8456954489112043,,,0.6371593106870052,21.231132822718003,21.654000091552735,22.076867360387467,3.905673474155878,0.6371593106870052
2022-02-18,21.75,21.8700008392334,21.469999313354492,21.469999313354492,18.651145935058594,224500,GOOD,31.953006075297115,-0.8306290661812206,0.07744736855336543,-0.908076434734586,0.3348210131428613,21.169998986380257,21.618000030517578,22.0660010746549,4.144703890321856,0.3348210131428613
2022-02-22,21.399999618530273,21.459999084472656,21.010000228881836,21.09000015258789,18.3210391998291,395700,GOOD,24.985763989811794,-0.8396723852296368,0.054723239603959306,-0.8943956248335961,0.08503235804907099,20.990822148250608,21.57400016784668,22.157178187442753,5.406304023907682,0.08503235804907099
2022-02-23,21.110000610351562,21.31999969482422,20.479999542236328,20.540000915527344,17.84325408935547,369400,GOOD,19.0781607952731,-0.8810632736486994,0.010665880947917428,-0.8917291545966168,0.09182245946340807,20.354636351236273,21.36400032043457,22.373364289632867,9.44920383878524,0.09182245946340807
2022-02-24,19.920000076293945,20.899999618530273,19.739999771118164,20.860000610351562,18.12123680114746,383900,GOOD,18.346391729627513,-0.8779243840919193,0.011043816403758067,-0.8889682004956774,0.33566655129700274,20.27581931999674,21.14600028991699,22.016181259837243,8.230218083702372,0.33566655129700274
2022-02-25,20.969999313354492,21.40999984741211,20.829999923706055,21.3799991607666,18.57296371459961,301000,GOOD,25.462134962132897,-0.8239789380061531,0.05199140999161944,-0.8759703479977725,0.7287240636639938,20.385957386532016,21.068000030517577,21.75004267450314,6.474678593104266,0.7287240636639938
2022-02-28,21.239999771118164,21.440000534057617,20.8700008392334,21.190000534057617,18.407909393310547,345300,GOOD,25.059870806596937,-0.7874804996079767,0.07079187871183668,-0.8582723783198134,0.6537085166932097,20.432981417314437,21.012000274658202,21.591019132001968,5.511315912574955,0.6537085166932097
2022-03-01,21.219999313354492,21.3799991607666,20.979999542236328,21.270000457763672,18.47740936279297,301100,GOOD,31.99580049170061,-0.7435289599450137,0.09179473469983979,-0.8353236946448535,0.6804311658012214,20.432806943009506,21.04800033569336,21.663193728377212,5.845623174383967,0.6804311658012214
2022-03-02,21.299999237060547,21.690000534057617,21.299999237060547,21.65999984741211,18.81620216369629,243000,GOOD,31.186879183769328,-0.6695096660497128,0.13265122287611253,-0.8021608889258254,0.872702430897591,20.751477993455048,21.272000122070313,21.79252225068558,4.893965077362039,0.872702430897591
2022-03-03,21.780000686645508,22.0,21.549999237060547,21.979999542236328,19.094188690185547,256800,GOOD,38.58081934801222,-0.5783605608061677,0.17904026249572613,-0.7574008233018938,0.917828140652151,20.916814848013534,21.495999908447267,22.075184968881,5.388770588951589,0.917828140652151
2022-03-04,21.8700008392334,22.0,21.649999618530273,21.989999771118164,19.102876663208008,213100,GOOD,44.324432239349704,-0.49955870156431104,0.2062736973900663,-0.7058323989543773,0.7741277599807541,20.939484763354006,21.618000030517578,22.29651529768115,6.277317663111569,0.7741277599807541
2022-03-07,21.969999313354492,21.989999771118164,21.25,21.299999237060547,18.503469467163086,446100,GOOD,42.94538609407231,-0.487169154145068,0.1749305958474474,-0.6620997499925154,0.22875359208500423,21.01326237637971,21.639999771118163,22.266737165856615,5.792397424836643,0.22875359208500423
2022-03-08,21.350000381469727,21.56999969482422,21.030000686645508,21.18000030517578,18.39922332763672,415600,GOOD,36.69798931617941,-0.4814830229083178,0.14449338166735815,-0.6259764045756759,0.1710147060994646,20.95023804848307,21.621999740600586,22.293761432718103,6.213686987111747,0.1710147060994646
2022-03-09,21.469999313354492,21.600000381469727,21.190000534057617,21.219999313354492,18.433975219726562,413400,GOOD,38.24830246345054,-0.46835028669537593,0.12610089430423999,-0.5944511809996159,0.28799551363915565,20.793448511912985,21.533999633789062,22.27455075566514,6.877970971208491,0.28799551363915565
2022-03-10,21.079999923706055,21.479999542236328,20.90999984741211,21.450000762939453,18.63377571105957,357300,GOOD,37.38916154174663,-0.43437608671326444,0.12806007542908115,-0.5624361621423456,0.5185945643467925,20.8364053506408,21.427999877929686,22.019594405218573,5.521696198049868,0.5185945643467925
2022-03-11,21.520000457763672,21.600000381469727,21.25,21.40999984741211,18.599027633666992,217700,GOOD,42.168190294945234,-0.4059989251543854,0.12514978959036815,-0.5311487147447536,0.7342802391912956,21.102848761701857,21.311999893188478,21.5211510246751,1.9627546221363086,0.7342802391912956
2022-03-14,21.510000228881836,21.6299991607666,20.90999984741211,21.1299991607666,18.355791091918945,362100,GOOD,42.467754297709014,-0.4014755750027206,0.10373851179362636,-0.5052140867963469,0.2108663670745313,21.022061619094824,21.277999877929688,21.53393813676455,2.405660873232091,0.2108663670745313
2022-03-15,21.360000610351562,21.510000228881836,21.1200008392334,21.489999771118164,18.668519973754883,349700,GOOD,50.171335231881194,-0.3646384220637948,0.11246053178604176,-0.4770989538498366,0.7678563295941603,21.059998920984683,21.339999771118165,21.62000062125165,2.6241879394248144,0.7678563295941603
2022-03-16,21.59000015258789,21.850000381469727,21.190000534057617,21.540000915527344,18.711959838867188,300400,GOOD,57.58422298948487,-0.3276332859101849,0.11957253435172133,-0.44720582026190625,0.7367519389004983,21.11677789475424,21.404000091552735,21.69122228835123,2.683817936553366,0.7367519389004983
2022-03-17,21.459999084472656,21.639999389648438,21.3799991607666,21.540000915527344,18.711959838867188,207400,GOOD,52.01786716983677,-0.2949069452096609,0.12183910004179632,-0.4167460452514572,0.6921269226378246,21.11490939309561,21.422000122070312,21.729090851045015,2.8670593522994046,0.6921269226378246
2022-03-18,21.6299991607666,21.959999084472656,21.600000381469727,21.75,18.89438819885254,456800,GOOD,60.81586486962072,-0.24915382316203605,0.13407377767153694,-0.383227600833573,0.8232262939770562,21.087805386479896,21.49000015258789,21.892194918695882,3.7430876058840723,0.8232262939770562
2022-03-21,21.8799991607666,21.940000534057617,21.420000076293945,21.510000228881836,18.685897827148438,325500,GOOD,53.901637609870555,-0.22961328109811419,0.12289145578836708,-0.35250473688648126,0.3509620821610063,21.378128252385523,21.566000366210936,21.75387248003635,1.7422990877786209,0.3509620821610063
2022-03-22,21.43000030517578,21.649999618530273,21.25,21.479999542236328,18.768905639648438,229400,GOOD,48.71939476654563,-0.21408028119527245,0.11073956455296707,-0.3248198457482395,0.28038834793005213,21.372751865704384,21.56400032043457,21.755248775164755,1.7737752911175217,0.28038834793005213
2022-03-23,21.479999542236328,21.690000534057617,21.299999237060547,21.559999465942383,18.838809967041016,235000,GOOD,48.42777108103345,-0.1930891303068627,0.10538457235310145,-0.29847370265996415,0.47893537957931154,21.37809476720372,21.568000030517577,21.757905293831435,1.7609909407005888,0.47893537957931154
2022-03-24,21.68000030517578,21.68000030517578,21.420000076293945,21.549999237060547,18.830068588256836,156000,GOOD,47.72846402892367,-0.17524036504518392,0.0985866700918242,-0.2738270351370081,0.44705840160869387,21.38110798800567,21.56999969482422,21.758891401642767,1.7514298515625255,0.44705840160869387
2022-03-25,21.65999984741211,21.75,21.40999984741211,21.510000228881836,18.79511833190918,150000,GOOD,54.72945978249862,-0.16245005257185596,0.0891015860521217,-0.25155163862397767,0.3974656142765711,21.463485167006144,21.521999740600585,21.580514314195025,0.5437652104795281,0.3974656142765711
2022-03-28,21.649999618530273,21.719999313354492,21.280000686645508,21.440000534057617,18.73395538330078,186100,GOOD,57.85456366297478,-0.15616189107506173,0.07631179803913277,-0.2324736891141945,0.11756783196039668,21.41909610411639,21.50799980163574,21.59690349915509,0.8267035367239287,0.11756783196039668
2022-03-29,21.6299991607666,22.219999313354492,21.549999237060547,22.219999313354492,19.415510177612305,223000,GOOD,55.8127240674007,-0.08723352128523132,0.11619213426317054,-0.20342565554840186,0.9944965285529601,21.08572319684536,21.655999755859376,22.22627631487339,5.266684202466505,0.9944965285529601
2022-03-30,22.219999313354492,22.219999313354492,21.8700008392334,21.979999542236328,19.20580291748047,171700,GOOD,63.49454755056338,-0.0513809794446729,0.12163574088298318,-0.17301672032765608,0.6963260233609682,21.12877216356637,21.739999771118164,22.351227378669957,5.6230691259143075,0.6963260233609682
2022-03-31,22.049999237060547,22.420000076293945,22.010000228881836,22.020000457763672,19.240751266479492,275000,GOOD,64.15933582580142,-0.01951488668484913,0.12280146691424557,-0.1423163535990947,0.6524603727196137,21.224003990760824,21.834000015258788,22.44399603975675,5.587579225718283,0.6524603727196137
2022-04-01,22.15999984741211,22.3799991607666,21.950000762939453,22.360000610351562,19.537837982177734,171600,GOOD,72.60693364856846,0.03279633647227698,0.14009015205709735,-0.10729381558482036,0.7836299516767926,21.376420887215904,22.004000091552733,22.631579295889562,5.704228337808041,0.7836299516767926
2022-04-04,22.399999618530273,22.420000076293945,21.940000534057617,22.389999389648438,19.56405258178711,205800,GOOD,71.50014573610072,0.07580023061083097,0.14647523695652107,-0.0706750063456901,0.7900264921658726,21.856100511625684,22.1939998626709,22.531899213716116,3.044961279048618,0.7900264921658726
2022-04-05,22.219999313354492,22.579999923706055,22.15999984741211,22.190000534057617,19.389293670654297,144600,GOOD,70.15022284537287,0.09267459530916966,0.1306796813238878,-0.03800508601471815,0.5029688426386021,21.851096557245633,22.188000106811522,22.52490365637741,3.036808616766346,0.5029688426386021
2022-04-06,22.190000534057617,22.68000030517578,22.110000610351562,22.549999237060547,19.703855514526367,210400,GOOD,76.76207363401667,0.13355697592138682,0.13724964954888397,-0.0036926736274971554,0.8416299140829315,21.939035356413747,22.302000045776367,22.664964735138987,3.254996759192992,0.8416299140829315
