,open,high,low,close,adjclose,volume,ticker,MFI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,%B,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0
2022-01-03,121.54000091552734,122.62999725341797,120.22000122070312,121.94000244140625,111.20223999023438,394300,LAMR,,,,,,,,,,
2022-01-04,122.29000091552734,124.31999969482422,121.2699966430664,121.41999816894531,110.72801971435547,350000,LAMR,,,,,,,,,,
2022-01-05,121.41999816894531,121.41999816894531,116.0199966430664,116.19999694824219,105.96768188476562,449500,LAMR,,,,,,,,,,
2022-01-06,117.26000213623047,118.08999633789062,116.01000213623047,116.62999725341797,106.35981750488281,227500,LAMR,,,,,,,,,,
2022-01-07,116.12999725341797,117.63999938964844,115.83000183105469,116.4000015258789,106.15007781982422,343400,LAMR,,,,,0.29560516655674346,113.33685621709293,118.51799926757812,123.69914231806331,8.743217203300441,0.29560516655674346
2022-01-10,116.48999786376953,116.88999938964844,112.80000305175781,114.31999969482422,104.25322723388672,251800,LAMR,,,,,0.2167755810652929,112.27336228180044,116.99399871826172,121.714635154723,8.069877922250088,0.2167755810652929
2022-01-11,114.91999816894531,115.83999633789062,112.4000015258789,115.61000061035156,105.42964172363281,277400,LAMR,,,,,0.4329944583677156,114.17543028117181,115.83199920654297,117.48856813191414,2.860295836588801,0.4329944583677156
2022-01-12,115.7699966430664,116.56999969482422,114.63999938964844,114.87999725341797,104.763916015625,260500,LAMR,,,,,0.30405545467831097,113.81239537202022,115.56799926757813,117.32360316313604,3.0382180303963,0.30405545467831097
2022-01-13,115.16000366210938,117.16000366210938,114.73999786376953,115.04000091552734,104.90982818603516,433000,LAMR,,,,,0.42572448712543626,113.836350491936,115.25,116.663649508064,2.453187866488499,0.42572448712543626
2022-01-14,114.70999908447266,115.52999877929688,112.19999694824219,112.68000030517578,102.75762939453125,530100,LAMR,,,,,0.04407966638732135,112.50345751759758,114.50599975585938,116.50854199412117,3.4977070940063544,0.04407966638732135
