,open,high,low,close,adjclose,volume,ticker,MFI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,%B,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,155.0937042236328,22622100,MSFT,,,,,,,,,,
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,153.16246032714844,21116200,MSFT,,,,,,,,,,
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,153.55836486816406,20813700,MSFT,,,,,,,,,,
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,152.1582794189453,21634100,MSFT,,,,,,,,,,
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,154.5819091796875,27746500,MSFT,,,,,0.7094171088022899,157.03440333304746,159.18799743652343,161.3415915399994,2.7057242231277114,0.7094171088022899
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,156.51312255859375,21385000,MSFT,,,,,0.9255665961639197,156.41784898955999,159.48199768066405,162.54614637176812,3.842626422625467,0.9255665961639197
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,155.78890991210938,20725900,MSFT,,,,,0.7039961935275167,156.80535348442527,160.0259979248047,163.24664236518413,4.025151515559107,0.7039961935275167
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,157.6621551513672,21626500,MSFT,,,,,0.8087155534908911,156.98244473756122,160.8759979248047,164.76955111204816,4.840440137084167,0.8087155534908911
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,156.5517578125,23477400,MSFT,,,,,0.5818644556586796,159.6849258236333,161.78599853515624,163.88707124667917,2.5973480159549984,0.5818644556586796
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,157.56558227539062,21417900,MSFT,,,,,0.7652140263543341,160.94103808730418,162.40399780273438,163.86695751816458,1.801630175640381,0.7652140263543341
2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,160.45269775390625,23865400,MSFT,,,,,0.9499931510211809,159.94217050278476,163.21999816894532,166.49782583510589,4.016453501938845,0.9499931510211809
2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,161.35073852539062,34371700,MSFT,,,,,0.8563447508520998,160.54423785684537,164.37200012207032,168.19976238729527,4.657438325727341,0.8563447508520998
2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,160.77134704589844,29517200,MSFT,,,,,0.6874935795636903,161.05853249653126,165.01600036621093,168.9734682358906,4.796465628662777,0.6874935795636903
2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,159.9989013671875,24138800,MSFT,64.74120946975836,,,,0.49446060101915895,163.0219585064764,165.72999877929686,168.43803905211732,3.268014593334741,0.49446060101915895
2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,160.9838104248047,19680800,MSFT,60.82079185517078,,,,0.6477699517485032,165.48381213982117,166.43800048828126,167.39218883674135,1.1465991488251224,0.6477699517485032
2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,159.36158752441406,24918100,MSFT,59.96258304772776,,,,0.10601204627361475,164.72463649147795,166.21199951171874,167.69936253195954,1.7897179801822023,0.10601204627361475
2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,156.696533203125,32078100,MSFT,57.95141016990389,,,,0.03608501240388072,162.04913689026796,165.247998046875,168.44685920348206,3.8715883937058626,0.03608501240388072
2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,159.7671661376953,24899900,MSFT,64.41280877160573,,,,0.5706254441293697,162.06651490826673,165.03999938964844,168.01348387103016,3.6033500877099724,0.5706254441293697
2020-01-29,167.83999633789062,168.75,165.69000244140625,168.0399932861328,162.25839233398438,34754500,MSFT,65.25576215659362,,,,0.828891384966149,161.65871171228747,165.50799865722655,169.35728560216563,4.651481470585724,0.828891384966149
2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,166.8353271484375,51597500,MSFT,68.20015299333762,,,,0.9281999836424191,159.64386453764172,166.71999816894532,173.79613180024893,8.488644084716245,0.9281999836424191
2020-01-31,172.2100067138672,172.39999389648438,169.5800018310547,170.22999572753906,164.373046875,36142700,MSFT,60.33102360717139,,,,0.6692037418801947,160.45320432217332,167.75799865722655,175.06279299227978,8.708728517891817,0.6692037418801947
2020-02-03,170.42999267578125,174.5,170.39999389648438,174.3800048828125,168.3802947998047,30107000,MSFT,61.30893043784817,,,,0.8280879225654749,163.7742210188584,170.1779998779297,176.58177873700097,7.525977345678963,0.8280879225654749
2020-02-04,177.13999938964844,180.63999938964844,176.30999755859375,180.1199951171875,173.92274475097656,36433300,MSFT,68.11462277374825,,,,0.9253909021478253,164.87052002957302,173.10999755859376,181.3494750876145,9.519354913319633,0.9253909021478253
2020-02-05,184.02999877929688,184.1999969482422,178.41000366210938,179.89999389648438,173.7103271484375,39186300,MSFT,69.64026716167714,,,,0.7812180087732222,167.6268886940574,175.48199768066405,183.3371066672707,8.952609487499782,0.7812180087732222
2020-02-06,180.97000122070312,183.82000732421875,180.05999755859375,183.6300048828125,177.31199645996094,27751400,MSFT,70.084984088362,,,,0.8148264404893422,168.15786941822475,177.6519989013672,187.14612838450964,10.688457818494468,0.8148264404893422
2020-02-07,182.85000610351562,185.6300048828125,182.47999572753906,183.88999938964844,177.5630340576172,33529100,MSFT,70.25712669401055,7.603192715364656,,,0.7547695895025239,173.50327308650893,180.38399963378907,187.26472618106922,7.628976584674051,0.7547695895025239
2020-02-10,183.5800018310547,188.83999633789062,183.25,188.6999969482422,182.20753479003906,35844300,MSFT,70.92888062196454,8.152558947157246,,,0.9256219677615978,176.84325473670242,183.247998046875,189.6527413570476,6.9902464184457305,0.9256219677615978
2020-02-11,190.64999389648438,190.6999969482422,183.5,184.44000244140625,178.09413146972656,53159900,MSFT,65.97413945391537,8.150238809729643,,,0.529293486804055,178.51343536874865,184.11199951171875,189.71056365468885,6.081693923066384,0.529293486804055
2020-02-12,185.5800018310547,185.85000610351562,181.85000610351562,184.7100067138672,178.35484313964844,47062900,MSFT,62.004360992486696,8.077079626246473,,,0.4508928360461674,181.36786907930147,185.07400207519532,188.78013507108918,4.005028209621853,0.4508928360461674
2020-02-13,183.0800018310547,186.22999572753906,182.8699951171875,183.7100067138672,177.38925170898438,35295800,MSFT,67.47180839012334,7.847942606409248,,,0.3125855477599343,181.4083340560584,185.09000244140626,188.7716708267541,3.9782466224920494,0.3125855477599343
2020-02-14,183.25,185.41000366210938,182.64999389648438,185.35000610351562,178.97279357910156,23149500,MSFT,72.84482546467356,7.709810219028299,,,0.49540363749489,181.90124257044934,185.3820037841797,188.86276499791003,3.7552309746124246,0.49540363749489
2020-02-18,185.61000061035156,187.6999969482422,185.5,187.22999572753906,180.7881317138672,27792200,MSFT,73.16571041583683,7.663696435742764,,,0.9487976098133873,182.70163589829667,185.08800354003907,187.47437118178146,2.5786302689532943,0.9487976098133873
2020-02-19,188.05999755859375,188.17999267578125,186.47000122070312,187.27999877929688,181.33033752441406,29997500,MSFT,73.10668564783943,7.5442206787705,,,0.7886729588961489,182.84313807326583,185.6560028076172,188.46886754196856,3.0301899123252665,0.7886729588961489
2020-02-20,186.9499969482422,187.25,181.10000610351562,184.4199981689453,178.56114196777344,36862400,MSFT,64.91717246383976,7.1364920948038275,-0.6285336977798011,7.765025792583629,0.29683552678921366,182.6988649675207,185.5980010986328,188.4971372297449,3.124102753209509,0.29683552678921366
2020-02-21,183.1699981689453,183.5,177.25,178.58999633789062,172.91641235351562,48572600,MSFT,63.11811669243867,6.270647706656888,-1.1955024687413927,7.466150175398281,0.030713396929137254,178.19836135725498,184.5739990234375,190.94963668962,6.908489494636701,0.030713396929137254
2020-02-24,167.77000427246094,174.5500030517578,163.22999572753906,170.88999938964844,165.46102905273438,68311100,MSFT,53.77326542540863,4.906574452759969,-2.0476605781106496,6.954235030870619,0.0686840086910598,169.1714502995381,181.68199768066407,194.19254506179004,13.7719174610963,0.0686840086910598
2020-02-25,174.1999969482422,174.83999633789062,167.64999389648438,168.07000732421875,162.73060607910156,68073300,MSFT,56.02656351886232,3.5569840810655933,-2.717800759844021,6.274784840909614,0.17134699618167604,162.97109647233358,177.85,192.7289035276664,16.731969106175328,0.17134699618167604
2020-02-26,169.7100067138672,173.25999450683594,168.2100067138672,170.1699981689453,164.76388549804688,56206100,MSFT,57.0599067115741,2.6265979132938924,-2.9185495420925784,5.545147455386471,0.3265072165253914,162.15659116654788,174.4279998779297,186.6994085893115,14.070457403593156,0.3265072165253914
2020-02-27,163.32000732421875,167.02999877929688,157.97999572753906,158.17999267578125,153.15478515625,93174900,MSFT,47.8274459297768,0.9112624671429046,-3.707107990594853,4.618370457737758,0.08032062923560322,156.07474883160418,169.17999877929688,182.28524872698958,15.492670578380961,0.08032062923560322
2020-02-28,152.41000366210938,163.7100067138672,152.0,162.00999450683594,156.86312866210938,97012700,MSFT,39.38111127974227,-0.13751886132024538,-3.8047114552464025,3.667192593926157,0.30539589201770234,155.96183358673863,165.86399841308594,175.76616323943324,11.94010143380948,0.30539589201770234
2020-03-02,165.30999755859375,172.9199981689453,162.30999755859375,172.7899932861328,167.3006591796875,71030800,MSFT,41.84823804981315,-0.0977035452569055,-3.01191691134645,2.9142133660895446,0.8043599364555434,155.49028865573683,166.2439971923828,176.99770572902878,12.937259351628127,0.8043599364555434
2020-03-03,173.8000030517578,175.0,162.25999450683594,164.50999450683594,159.28369140625,71677000,MSFT,41.19082625823515,-0.7259085017294638,-2.9120974942552067,2.186188992525743,0.4520039434258941,154.88528534673475,165.53199462890626,176.17870391107778,12.863627126634427,0.4520039434258941
2020-03-04,168.49000549316406,170.6999969482422,165.6199951171875,170.5500030517578,165.13182067871094,49814400,MSFT,47.60826265354122,-0.7279953671574617,-2.331347487746564,1.6033521205891021,0.7291655407213851,154.8253809271619,165.60799560546874,176.3906102837756,13.021852766088053,0.7291655407213851
2020-03-05,166.0500030517578,170.8699951171875,165.69000244140625,166.27000427246094,160.98785400390625,47817300,MSFT,42.228370028466756,-1.062758536229751,-2.1328885254550825,1.0701299892253315,0.4392960438397156,159.35176935047983,167.2259979248047,175.10022649912955,9.417469379211727,0.4392960438397156
2020-03-06,162.61000061035156,163.11000061035156,156.0,161.57000732421875,156.43711853027344,72821100,MSFT,37.008666067969415,-1.6878546954911542,-2.2063877477731886,0.5185330522820344,0.15679156265488958,159.02632175576855,167.13800048828125,175.24967922079395,9.706564286775041,0.15679156265488958
2020-03-09,151.0,157.75,150.0,150.6199951171875,145.8349609375,70419300,MSFT,32.08273676367311,-3.031872834556083,-2.8403247094704938,-0.19154812508558905,0.04950238001738551,149.29215892537053,162.7040008544922,176.11584278361386,16.486185783613287,0.04950238001738551
2020-03-10,158.16000366210938,161.02999877929688,152.5800018310547,160.9199981689453,155.8077850341797,65354400,MSFT,34.19191707650155,-3.228674576594301,-2.429701161206969,-0.7989734153873316,0.4600220018940578,148.65362542410793,161.98600158691406,175.31837774972018,16.461146064714242,0.4600220018940578
2020-03-11,157.1300048828125,157.6999969482422,151.14999389648438,153.6300048828125,148.7493896484375,56371600,MSFT,33.77006334760067,-3.9276078893174997,-2.5029075791441344,-1.4247003101733653,0.28123099087595765,147.2384247028085,158.602001953125,169.96557920344154,14.329676940238173,0.28123099087595765
2020-03-12,145.3000030517578,153.47000122070312,138.5800018310547,139.05999755859375,134.64222717285156,93226400,MSFT,32.77628537934122,-5.5927259363823225,-3.3344205009671657,-2.258305435415157,0.0702677998360488,136.75443099469513,153.16000061035157,169.56557022600802,21.42278604110641,0.0702677998360488
