,open,high,low,close,adjclose,volume,ticker,MFI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,%B,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0
2022-01-03,69.44999694824219,69.75,66.4000015258789,67.33999633789062,61.48255157470703,531000,NSA,,,,,,,,,,
2022-01-04,67.41000366210938,68.66999816894531,67.34500122070312,67.61000061035156,61.72907257080078,680000,NSA,,,,,,,,,,
2022-01-05,67.3499984741211,68.08999633789062,66.04000091552734,66.83999633789062,61.02605056762695,485700,NSA,,,,,,,,,,
2022-01-06,67.27999877929688,67.4000015258789,66.17500305175781,66.37000274658203,60.5969352722168,397800,NSA,,,,,,,,,,
2022-01-07,65.97000122070312,66.83000183105469,64.01000213623047,64.30999755859375,58.71611404418945,718200,NSA,,,,,0.0340684726184851,64.15030545935969,66.49399871826172,68.83769197716376,7.0493376968720955,0.0340684726184851
2022-01-10,64.16999816894531,65.05999755859375,63.380001068115234,65.0,59.34609603881836,703300,NSA,,,,,0.2875346892516794,63.61148894289778,66.0259994506836,68.44050995846942,7.313817368533061,0.2875346892516794
2022-01-11,65.04000091552734,65.88999938964844,64.05000305175781,65.80999755859375,60.08564376831055,531600,NSA,,,,,0.539387235243569,63.83801170984132,65.66599884033204,67.49398597082276,5.56753011535088,0.539387235243569
2022-01-12,65.62000274658203,66.68000030517578,65.53099822998047,66.3499984741211,60.57867431640625,475000,NSA,,,,,0.7436718973542249,63.96338417853039,65.56799926757813,67.17261435662587,4.894506792862249,0.7436718973542249
2022-01-13,66.55000305175781,66.9800033569336,64.3499984741211,64.70999908447266,59.081321716308594,390400,NSA,,,,,0.32301737109048045,63.749978540073826,65.23599853515626,66.72201853023869,4.555828157613316,0.32301737109048045
2022-01-14,64.37999725341797,65.18000030517578,62.7400016784668,63.7400016784668,58.19569778442383,391000,NSA,,,,,0.11733193881095169,63.31625984121834,65.12199935913085,66.92773887704337,5.545712771975353,0.11733193881095169
2022-01-18,63.209999084472656,63.470001220703125,62.349998474121094,62.61000061035156,57.16399383544922,581300,NSA,,,,,0.1257124574953382,61.92683868920891,64.64399948120118,67.36116027319345,8.406536766904207,0.1257124574953382
