,open,high,low,close,adjclose,volume,ticker,MFI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,%B,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0
2022-01-03,23.09000015258789,23.200000762939453,22.510000228881836,22.780000686645508,21.17184829711914,359400,NTST,,,,,,,,,,
2022-01-04,22.860000610351562,23.05500030517578,22.719999313354492,22.860000610351562,21.246200561523438,218200,NTST,,,,,,,,,,
2022-01-05,23.219999313354492,23.40999984741211,22.690000534057617,22.770000457763672,21.162555694580078,812200,NTST,,,,,,,,,,
2022-01-06,22.739999771118164,23.31999969482422,22.59000015258789,23.049999237060547,21.422786712646484,376600,NTST,,,,,,,,,,
2022-01-07,23.06999969482422,23.360000610351562,22.81999969482422,23.1200008392334,21.48784828186035,313200,NTST,,,,,0.8561659663594099,22.629616359468695,22.916000366210938,23.20238437295318,2.4994240021440066,0.8561659663594099
2022-01-10,23.1200008392334,23.170000076293945,22.709999084472656,23.010000228881836,21.385610580444336,868400,NTST,,,,,0.5935446773829695,22.705438621090657,22.9620002746582,23.218561928225746,2.2346629256920307,0.5935446773829695
2022-01-11,23.110000610351562,23.59000015258789,23.0,23.229999542236328,21.5900821685791,3496600,NTST,,,,,0.8179793869418066,22.730949656562437,23.036000061035157,23.341050465507877,2.6484667795144285,0.8179793869418066
2022-01-12,23.25,23.600000381469727,23.25,23.510000228881836,21.850317001342773,702100,NTST,,,,,0.9545773215752277,22.825424919064623,23.18400001525879,23.542575111452955,3.093297929245736,0.9545773215752277
2022-01-13,23.59000015258789,23.860000610351562,23.3700008392334,23.530000686645508,21.86890411376953,420700,NTST,,,,,0.8004256098114844,22.8639232909249,23.280000305175783,23.696077319426664,3.574544749111327,0.8004256098114844
2022-01-14,23.440000534057617,23.448999404907227,23.13800048828125,23.260000228881836,21.617963790893555,2436700,NTST,,,,,0.4379959905427186,22.920928809465476,23.30800018310547,23.695071556745464,3.32136065384587,0.4379959905427186
2022-01-18,23.219999313354492,23.31999969482422,23.030000686645508,23.170000076293945,21.534317016601562,812400,NTST,,,,,0.2165410047529957,23.04013301281727,23.34000015258789,23.63986729235851,2.569555593917769,0.2165410047529957
2022-01-19,23.299999237060547,23.559999465942383,23.06999969482422,23.09000015258789,21.459964752197266,919000,NTST,,,,,0.1886540432334646,22.955483484821134,23.312000274658203,23.668517064495273,3.0586546468483755,0.1886540432334646
2022-01-20,23.09000015258789,23.149999618530273,22.459999084472656,22.610000610351562,21.013851165771484,944400,NTST,,,,,0.06523201176592347,22.531680462267584,23.132000350952147,23.73232023963671,5.190384571819817,0.06523201176592347
2022-01-21,22.5,22.899999618530273,22.395000457763672,22.450000762939453,20.865144729614258,779600,NTST,55.61844064945093,,,,0.14010284357431452,22.268593746081518,22.916000366210938,23.563406986340357,5.6502584201735715,0.14010284357431452
2022-01-24,22.309999465942383,22.309999465942383,21.579999923706055,22.18000030517578,20.61420440673828,654400,NTST,53.09494630707268,,,,0.15598332003344606,21.944222963432175,22.700000381469728,23.45577779950728,6.658831765082286,0.15598332003344606
2022-01-25,22.06999969482422,22.299999237060547,21.610000610351562,22.149999618530273,20.58632469177246,303800,NTST,51.249469510968915,,,,0.24765743921753508,21.810422973284716,22.496000289916992,23.18157760654927,6.095104087810323,0.24765743921753508
2022-01-26,22.25,22.690000534057617,21.690000534057617,21.790000915527344,20.251739501953125,375000,NTST,49.61258857666046,,,,0.10336146664582886,21.673776289437924,22.23600044250488,22.79822459557184,5.056882010060101,0.10336146664582886
2022-01-27,21.799999237060547,22.049999237060547,21.31999969482422,21.520000457763672,20.00079917907715,403900,NTST,46.79870793630969,,,,0.11770221800235683,21.366675740913614,22.018000411987305,22.669325083060997,5.916292659519522,0.11770221800235683
2022-01-28,21.59000015258789,22.280000686645508,21.270000457763672,22.280000686645508,20.7071475982666,624800,NTST,47.89052060824599,,,,0.7595233222306327,21.413723538038443,21.984000396728515,22.554277255418587,5.188108155010185,0.7595233222306327
2022-01-31,22.100000381469727,22.690000534057617,21.860000610351562,22.600000381469727,21.00455665588379,454800,NTST,52.748779919233,,,,0.8523800865710646,21.313133735695807,22.068000411987306,22.822867088278805,6.8412784321089335,0.8523800865710646
2022-02-01,22.59000015258789,22.695999145507812,22.09000015258789,22.200000762939453,20.632795333862305,436600,NTST,34.12941490710174,,,,0.5802365809939609,21.31774814407162,22.078000640869142,22.838253137666666,6.8869686994229085,0.5802365809939609
2022-02-02,22.200000762939453,22.5,22.059999465942383,22.420000076293945,20.837261199951172,297800,NTST,28.282366913841987,,,,0.6467388818166749,21.468000577843558,22.20400047302246,22.940000368201364,6.629435052238738,0.6467388818166749
2022-02-03,22.09000015258789,22.329999923706055,21.764999389648438,21.8799991607666,20.335384368896484,296700,NTST,24.22571119885371,,,,0.08772846842342068,21.79573293523241,22.276000213623046,22.75626749201368,4.311970495465552,0.08772846842342068
