,open,high,low,close,adjclose,volume,ticker,MFI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,%B,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0
2022-01-03,17.479999542236328,17.479999542236328,16.700000762939453,16.950000762939453,13.469856262207031,96900,REFI,,,,,,,,,,
2022-01-04,17.530000686645508,17.530000686645508,16.799999237060547,17.1200008392334,13.604950904846191,85300,REFI,,,,,,,,,,
2022-01-05,17.010000228881836,17.20400047302246,16.90999984741211,17.100000381469727,13.589057922363281,74000,REFI,,,,,,,,,,
2022-01-06,17.010000228881836,17.489999771118164,17.010000228881836,17.25,13.708259582519531,60900,REFI,,,,,,,,,,
2022-01-07,17.270000457763672,17.5,17.270000457763672,17.329999923706055,13.771833419799805,23400,REFI,,,,,0.843521428764134,16.88800865815293,17.150000381469727,17.411992104786524,3.055296996959536,0.843521428764134
2022-01-10,17.6299991607666,17.829999923706055,17.100000381469727,17.530000686645508,13.930770874023438,25700,REFI,,,,,0.9209380864618599,16.952414676384688,17.26600036621094,17.57958605603719,3.632406847852605,0.9209380864618599
2022-01-11,17.600000381469727,17.981000900268555,17.530000686645508,17.829999923706055,14.16917610168457,37300,REFI,,,,,0.9177569039106284,16.90292206632243,17.408000183105468,17.913078299888507,5.802827567444762,0.9177569039106284
2022-01-12,18.110000610351562,18.152000427246094,17.649999618530273,17.760000228881836,14.113548278808594,133100,REFI,,,,,0.740820795404825,17.083228809556402,17.54000015258789,17.996771495619377,5.208339099861346,0.740820795404825
2022-01-13,18.0,18.09000015258789,17.75,18.030000686645508,14.32811164855957,131400,REFI,,,,,0.8436943992416643,17.210102938279224,17.69600028991699,18.18189764155476,5.4916065062976624,0.8436943992416643
2022-01-14,18.25,18.5,17.799999237060547,18.280000686645508,14.52678394317627,85800,REFI,,,,,0.8883133630675433,17.378677901467206,17.886000442504884,18.39332298354256,5.67284500152487,0.8883133630675433
2022-01-18,18.729999542236328,18.729999542236328,18.242000579833984,18.450000762939453,14.66187858581543,76600,REFI,,,,,0.862289354459139,17.545557356553754,18.070000457763673,18.59444355897359,5.804572085493163,0.862289354459139
2022-01-19,20.290000915527344,20.290000915527344,18.5,18.760000228881836,14.908232688903809,90000,REFI,,,,,0.8670115223483164,17.56937396977637,18.256000518798828,18.942627067821288,7.522201243535429,0.8670115223483164
2022-01-20,19.34000015258789,20.21500015258789,18.610000610351562,19.510000228881836,15.504240036010742,110600,REFI,,,,,0.9426576127207068,17.584895624062295,18.60600051879883,19.627105413535364,10.976081546432802,0.9426576127207068
