,open,high,low,close,adjclose,volume,ticker,MFI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,%B,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0
2022-01-03,76.20999908447266,77.19999694824219,75.27999877929688,76.12000274658203,70.77169036865234,986500,REG,,,,,,,,,,
2022-01-04,76.27999877929688,78.77999877929688,76.27999877929688,77.86000061035156,72.38945007324219,951100,REG,,,,,,,,,,
2022-01-05,78.0199966430664,78.44999694824219,76.06999969482422,76.2300033569336,70.87397003173828,816500,REG,,,,,,,,,,
2022-01-06,76.68000030517578,77.26000213623047,75.8499984741211,76.44000244140625,71.0692138671875,667700,REG,,,,,,,,,,
2022-01-07,76.26000213623047,76.55999755859375,75.5999984741211,75.73999786376953,70.41839599609375,1114100,REG,,,,,0.24636176944498375,75.02316642403416,76.47800140380859,77.93283638358302,3.804584202175507,0.24636176944498375
2022-01-10,75.51000213623047,76.38999938964844,74.8499984741211,76.27999877929688,70.92045593261719,905100,REG,,,,,0.4195085541425372,75.08126598765645,76.51000061035157,77.93873523304669,3.7347656810809484,0.4195085541425372
2022-01-11,76.31999969482422,76.44999694824219,74.33999633789062,76.38999938964844,71.02272033691406,661800,REG,,,,,0.6743276681406228,75.71694297247254,76.21600036621093,76.71505775994933,1.309586940643623,0.6743276681406228
2022-01-12,76.29000091552734,76.72000122070312,75.55000305175781,76.44000244140625,71.0692138671875,727800,REG,,,,,0.6713689839199555,75.72697568223722,76.25800018310547,76.78902468397371,1.3927050266022765,0.6713689839199555
2022-01-13,76.73999786376953,78.33000183105469,76.66999816894531,77.04000091552734,71.6270523071289,924000,REG,,,,,0.8993156276546913,75.54908035694098,76.37799987792968,77.20691939891839,2.1705714271479146,0.8993156276546913
2022-01-14,76.66000366210938,76.83000183105469,75.08999633789062,75.80000305175781,70.47418212890625,641000,REG,,,,,0.12779189188172826,75.59743641881029,76.39000091552734,77.18256541224439,2.075047747658682,0.12779189188172826
2022-01-18,75.4800033569336,75.87000274658203,74.37000274658203,74.80000305175781,69.54444122314453,664200,REG,,,,,0.0724965886260365,74.58056505368678,76.09400177001953,77.60743848635228,3.9778081875805116,0.0724965886260365
2022-01-19,74.94999694824219,75.48999786376953,72.76000213623047,72.91999816894531,67.7965316772461,650700,REG,,,,,0.07096430922732945,72.50979517443616,75.4000015258789,78.29020787732165,7.66632968953127,0.07096430922732945
2022-01-20,72.91999816894531,73.44000244140625,70.37999725341797,70.55999755859375,65.60234069824219,937300,REG,,,,,0.0973050079179454,69.67464798376965,74.2240005493164,78.77335311486316,12.25844075198842,0.0973050079179454
2022-01-21,70.45999908447266,71.0,69.7699966430664,69.98999786376953,65.07240295410156,1042100,REG,24.952228024106848,,,,0.18996377567240136,68.25969006546545,72.81399993896484,77.36830981246423,12.509434661787482,0.18996377567240136
2022-01-24,69.0999984741211,71.30000305175781,67.62000274658203,70.88999938964844,65.9091567993164,1369200,REG,22.298807556106457,,,,0.36790124607085783,68.2664855704347,71.83199920654297,75.39751284265125,9.927368514013196,0.36790124607085783
2022-01-25,70.29000091552734,71.33999633789062,68.91999816894531,70.7300033569336,65.76040649414062,967300,REG,21.793936773629728,,,,0.4278817691768226,69.02130642474725,71.01799926757812,73.01469211040899,5.623061374364622,0.4278817691768226
2022-01-26,71.30000305175781,72.54000091552734,69.76000213623047,70.43000030517578,65.48148345947266,562400,REG,26.941712107668675,,,,0.4267384153614597,69.9057665322979,70.51999969482422,71.13423285735054,1.7420112455598877,0.4267384153614597
2022-01-27,71.04000091552734,71.91000366210938,69.2699966430664,69.7699966430664,64.86785888671875,698900,REG,27.001984371267003,,,,0.1526393162266186,69.50985518982628,70.36199951171875,71.21414383361122,2.4221719900115777,0.1526393162266186
2022-01-28,69.55000305175781,71.23999786376953,68.1500015258789,71.19000244140625,66.1880874633789,914400,REG,27.652106691279798,,,,0.804290979164741,69.63581665181151,70.6020004272461,71.56818420268068,2.7369869680398624,0.804290979164741
2022-01-31,70.5199966430664,71.81999969482422,69.83000183105469,71.75,66.708740234375,2979300,REG,45.010572611151474,,,,0.8634164142869397,69.43118909073301,70.77400054931641,72.11681200789981,3.7946461925596715,0.8634164142869397
2022-02-01,71.22000122070312,71.98999786376953,70.66000366210938,71.68000030517578,66.64366149902344,619200,REG,49.76184458035547,,,,0.7353501025620933,69.44286109428975,70.96399993896485,72.48513878363994,4.287071884288945,0.7353501025620933
