,open,high,low,close,adjclose,volume,ticker,MFI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,%B,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0
2022-01-03,75.0721664428711,77.46392059326172,74.38143920898438,77.28865814208984,65.55374145507812,853212,SLG,,,,,,,,,,
2022-01-04,78.08247375488281,80.80412292480469,78.08247375488281,80.49484252929688,68.27308654785156,1023253,SLG,,,,,,,,,,
2022-01-05,80.75257873535156,81.8865966796875,80.0,80.02062225341797,67.87089538574219,1318327,SLG,,,,,,,,,,
2022-01-06,80.80412292480469,82.32989501953125,80.1134033203125,82.08247375488281,69.61968231201172,779298,SLG,,,,,,,,,,
2022-01-07,81.89690399169922,84.44329833984375,81.43299102783203,82.42268371582031,69.90821838378906,1699440,SLG,,,,,0.7679389851522043,76.80276250672559,80.46185607910157,84.12094965147755,9.095225366858918,0.7679389851522043
2022-01-10,82.87628936767578,83.23711395263672,81.23711395263672,81.68041229248047,69.27867126464844,901227,SLG,,,,,0.5917729991198049,79.4866912424602,81.34020690917968,83.19372257589917,4.557440255319314,0.5917729991198049
2022-01-11,81.89690399169922,82.01030731201172,80.09278106689453,81.46392059326172,69.09505462646484,847392,SLG,,,,,0.47876982951655767,79.88302474111137,81.53402252197266,83.18502030283395,4.049837674613344,0.47876982951655767
2022-01-12,81.75257873535156,82.34020233154297,81.23711395263672,81.29896545410156,68.95512390136719,851951,SLG,,,,,0.20162447450120502,80.96736214033812,81.78969116210938,82.61202018388063,2.01083782097031,0.20162447450120502
2022-01-13,81.8453598022461,85.17525482177734,81.62886810302734,83.82474517822266,71.097412109375,1518632,SLG,,,,,0.9549995283940581,80.28473722743452,82.13814544677734,83.99155366612017,4.512904958497678,0.9549995283940581
2022-01-14,83.08247375488281,84.97937774658203,82.30928039550781,83.94845581054688,71.20234680175781,1479735,SLG,,,,,0.8174656183133521,80.07271883584468,82.44329986572265,84.81388089560062,5.750815490740884,0.8174656183133521
2022-01-18,83.65979766845703,83.91752624511719,81.38143920898438,81.61856079101562,69.2261962890625,679194,SLG,,,,,0.32983225330277477,80.04396496672847,82.4309295654297,84.81789416413092,5.791429530845139,0.32983225330277477
2022-01-19,82.08247375488281,82.19587707519531,80.14433288574219,80.28865814208984,68.09822082519531,801511,SLG,,,,,0.17097303832923189,79.29760557273121,82.19587707519531,85.09414857765941,7.0521091947535774,0.17097303832923189
2022-01-20,80.30928039550781,81.10309600830078,78.0,78.16494750976562,66.29695129394531,1260515,SLG,,,,,0.11139305080150223,77.18916470756913,81.56907348632812,85.94898226508711,10.739140685453807,0.11139305080150223
2022-01-21,77.46392059326172,78.14433288574219,75.19587707519531,75.83505249023438,64.3208236694336,966702,SLG,61.98157963744465,,,,0.12977739156730836,74.38519507865355,79.97113494873047,85.55707481880738,13.969890195151194,0.12977739156730836
2022-01-24,74.55000305175781,76.29000091552734,71.62999725341797,75.80999755859375,64.29955291748047,1083300,SLG,57.911376573410024,,,,0.22871015315497734,73.67418315239462,78.34344329833985,83.01270344428508,11.919976833706963,0.22871015315497734
2022-01-25,74.4000015258789,75.16999816894531,73.18000030517578,74.05000305175781,62.80680465698242,902900,SLG,51.89533064863839,,,,0.1794728938705663,72.49354824904056,76.82973175048828,81.165915251936,11.287774674340609,0.1794728938705663
2022-01-26,74.88999938964844,75.56999969482422,72.23999786376953,72.5999984741211,61.57695770263672,858500,SLG,44.74115550711609,,,,0.14135566861186943,71.53897612855954,75.29199981689453,79.04502350522952,9.969249581528215,0.14135566861186943
2022-01-27,72.66000366210938,73.06999969482422,69.05000305175781,69.95999908447266,59.33780288696289,1566600,SLG,37.80004737452165,,,,0.08159138833185624,69.24023685371473,73.65101013183593,78.06178340995713,11.977495679219814,0.08159138833185624
2022-01-28,69.23999786376953,72.02999877929688,68.33999633789062,71.97000122070312,61.31516647338867,1277200,SLG,35.12669205068149,,,,0.3847187884865459,68.93980975437869,72.87799987792968,76.81619000148068,10.807624057047247,0.3847187884865459
2022-01-31,70.83999633789062,72.55999755859375,70.62000274658203,72.5199966430664,61.78373718261719,1387400,SLG,42.71509532846867,,,,0.556683045269435,69.57373266015638,72.21999969482422,74.86626672949207,7.3283496146497304,0.556683045269435
2022-02-01,72.55000305175781,74.72000122070312,71.87999725341797,74.12000274658203,63.146873474121094,961300,SLG,48.55480742139148,,,,0.8511720488864019,69.54870175946557,72.23399963378907,74.91929750811256,7.434997059383065,0.8511720488864019
2022-02-02,73.9800033569336,75.25,73.5999984741211,73.80000305175781,62.874271392822266,906400,SLG,48.45702527289233,,,,0.7230526212652174,69.50160216430763,72.4740005493164,75.44639893432517,8.202661264672825,0.7230526212652174
2022-02-03,73.4000015258789,73.91999816894531,72.18000030517578,72.52999877929688,61.79227828979492,650800,SLG,40.53320318383636,,,,0.36126801105943734,71.33732960667011,72.98800048828124,74.63867136989238,4.523129474895429,0.36126801105943734
2022-02-04,72.11000061035156,73.9000015258789,71.73999786376953,73.16999816894531,62.3375244140625,649000,SLG,36.14870255689371,,,,0.4777032314702106,71.92732464988296,73.22799987792969,74.52867510597642,3.5523986186020107,0.4777032314702106
2022-02-07,73.18000030517578,74.9800033569336,73.18000030517578,74.2699966430664,63.27467346191406,595600,SLG,40.86194685201851,,,,0.7677939487947203,72.285967760977,73.57799987792968,74.87003199488237,3.5120066299606996,0.7677939487947203
2022-02-08,74.7300033569336,74.81999969482422,73.26000213623047,73.80999755859375,62.882781982421875,537800,SLG,41.883384577753446,-3.0253413783502907,,,0.6215736646848008,72.30686066462614,73.51599884033203,74.72513701603792,3.2894558865533257,0.6215736646848008
2022-02-09,74.38999938964844,75.22000122070312,73.8499984741211,75.0,63.89659118652344,923900,SLG,50.31157351680996,-2.741057406255777,,,0.8634452043057277,72.04459613238518,73.75599822998046,75.46740032757575,4.6407129960031615,0.8634452043057277
2022-02-10,74.36000061035156,76.81999969482422,74.25,75.76000213623047,64.5440902709961,701200,SLG,56.99258829278538,-2.4264637260122583,,,0.875489023859683,72.59368607652847,74.4019989013672,76.21031172620592,4.860925382491286,0.875489023859683
2022-02-11,75.94000244140625,78.01000213623047,75.94000244140625,77.4000015258789,65.9412841796875,858600,SLG,64.95543664521732,-2.0215090254961012,,,0.9258833428098638,72.72148381502709,75.24799957275391,77.77451533048074,6.715170561535134,0.9258833428098638
2022-02-14,77.33000183105469,78.20999908447266,76.76000213623047,77.08999633789062,65.67717742919922,971200,SLG,72.34979160187214,-1.7059294429312644,,,0.7404890665382239,73.1549206586792,75.81199951171875,78.4690783647583,7.009652482860127,0.7404890665382239
2022-02-15,77.5,80.05999755859375,77.2300033569336,80.0199966430664,68.17340087890625,726100,SLG,78.90514495489279,-1.2055074727831965,,,0.9308204509898755,73.61173317384012,77.05399932861329,80.49626548338645,8.934685246103538,0.9308204509898755
2022-02-16,80.08999633789062,81.76000213623047,79.52999877929688,81.5999984741211,69.51950073242188,1051200,SLG,90.4459312955413,-0.6736609686481927,,,0.8797937915136865,74.12695823081921,78.3739990234375,82.6210398160558,10.837882066852881,0.8797937915136865
2022-02-17,80.58000183105469,82.29000091552734,80.44999694824219,82.18000030517578,70.01362609863281,1018000,SLG,90.36900335995628,-0.20302711172156762,,,0.8008797254710894,75.4669524775604,79.65799865722656,83.84904483689272,10.522599739670834,0.8008797254710894
2022-02-18,82.2300033569336,83.16999816894531,82.13999938964844,82.8499984741211,70.5844497680664,1298500,SLG,90.4497729513278,0.2214639647233838,1.7526898055539688,-1.531225840830585,0.7557736707578363,76.63889561068983,80.747998046875,84.85710048306017,10.1775958180407,0.7557736707578363
2022-02-22,82.0,82.5199966430664,79.48999786376953,80.04000091552734,68.19046020507812,1298600,SLG,79.73121072288319,0.3273592881502907,1.4868681031847006,-1.15950881503441,0.2150811133220132,79.06016111527151,81.33799896240234,83.61583680953316,5.6009193149286425,0.2150811133220132
2022-02-23,80.51000213623047,81.55000305175781,76.5199966430664,76.61000061035156,65.26824951171875,1271700,SLG,70.24035900214473,0.13297686149751087,1.0339885412255367,-0.9010116797280259,0.04561156715442969,76.20386271512302,80.65599975585937,85.10813679659572,11.039816143157818,0.04561156715442969
2022-02-24,75.0,78.30999755859375,73.97000122070312,78.0999984741211,66.53765869140625,963200,SLG,68.38721657423443,0.09802776010161551,0.7992315518637132,-0.7012037917620977,0.3038151445446968,75.22576388359772,79.95599975585938,84.68623562812104,11.832097370316516,0.3038151445446968
2022-02-25,77.75,80.44999694824219,77.75,80.30000305175781,68.68547821044922,661600,SLG,68.55170098132899,0.2450278006986224,0.7569852739685761,-0.5119574732699537,0.5849774916683083,75.34356820741274,79.58000030517579,83.81643240293883,10.64697683216146,0.5849774916683083
