,open,high,low,close,adjclose,volume,ticker,MFI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,%B,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0
2022-01-03,20.280000686645508,20.280000686645508,18.899999618530273,19.200000762939453,19.200000762939453,2060,WHLR,,,,,,,,,,
2022-01-04,19.100000381469727,19.799999237060547,19.100000381469727,19.799999237060547,19.799999237060547,2480,WHLR,,,,,,,,,,
2022-01-05,19.5,19.799999237060547,19.0,19.200000762939453,19.200000762939453,390,WHLR,,,,,,,,,,
2022-01-06,19.0,19.899999618530273,18.899999618530273,19.899999618530273,19.899999618530273,1090,WHLR,,,,,,,,,,
2022-01-07,20.399999618530273,20.399999618530273,18.799999237060547,18.799999237060547,18.799999237060547,1860,WHLR,,,,,0.147908312349102,18.556349853300837,19.379999923706055,20.203649994111274,8.5000007600383,0.14790831234910212
2022-01-10,18.700000762939453,18.799999237060547,17.399999618530273,18.100000381469727,18.100000381469727,1690,WHLR,,,,,0.10158262777527081,17.82973723860136,19.15999984741211,20.490262456222858,13.885831100258843,0.1015826277752709
2022-01-11,18.5,18.5,17.399999618530273,17.799999237060547,17.799999237060547,4350,WHLR,,,,,0.18222355226785938,17.249503054457893,18.75999984741211,20.27049664036633,16.103377454585495,0.18222355226785947
2022-01-12,17.469999313354492,17.920000076293945,17.0,17.0,17.0,5340,WHLR,,,,,0.16277339503584518,16.362859191386587,18.31999969482422,20.27714019826185,21.36616305720316,0.16277339503584523
2022-01-13,17.399999618530273,17.399999618530273,16.0,16.700000762939453,16.700000762939453,4540,WHLR,,,,,0.17650961758088038,16.165273035323793,17.679999923706056,19.19472681208832,17.134919625777332,0.17650961758088043
2022-01-14,17.5,17.5,16.600000381469727,17.100000381469727,17.100000381469727,1420,WHLR,,,,,0.3854595234837061,16.292336573660737,17.34000015258789,18.387663731515044,12.08377819732367,0.3854595234837062
2022-01-18,17.100000381469727,17.700000762939453,16.899999618530273,17.100000381469727,17.100000381469727,1770,WHLR,,,,,0.47230768273549545,16.417782312598103,17.14000015258789,17.86221799257768,8.427279271415225,0.47230768273549556
2022-01-19,17.399999618530273,17.399999618530273,15.989999771118164,16.700000762939453,16.700000762939453,1320,WHLR,,,,,0.1999504628628881,16.553394835033306,16.92000045776367,17.286606080494035,4.333399678628846,0.1999504628628883
2022-01-20,16.399999618530273,16.700000762939453,15.100000381469727,15.100000381469727,15.100000381469727,6780,WHLR,,,,,0.014752490689966506,15.056221508962356,16.54000053405762,18.02377955915288,17.94170468181067,0.01475249068996658
2022-01-21,15.800000190734863,16.399999618530273,15.600000381469727,16.399999618530273,16.399999618530273,2540,WHLR,26.974803935477446,,,,0.47292325098547494,15.002705401666615,16.480000305175782,17.95729520868495,17.92833587563954,0.47292325098547505
2022-01-24,15.899999618530273,16.399999618530273,15.140000343322754,16.399999618530273,16.399999618530273,1610,WHLR,25.88961192734667,,,,0.5223505489181334,14.997763186458945,16.34000015258789,17.682237118716834,16.428848881208417,0.5223505489181334
2022-01-25,16.200000762939453,17.799999237060547,16.200000762939453,17.799999237060547,17.799999237060547,860,WHLR,21.770168639517426,,,,0.8832030933499813,14.757676518361134,16.479999923706053,18.202323329050973,20.90198317133973,0.8832030933499813
2022-01-26,17.799999237060547,17.899999618530273,17.799999237060547,17.899999618530273,17.899999618530273,690,WHLR,23.618358365247865,,,,0.7841798818585788,14.643850046248321,16.719999694824217,18.796149343400113,24.834326393182668,0.7841798818585788
2022-01-27,17.799999237060547,17.799999237060547,16.100000381469727,16.200000762939453,16.200000762939453,4180,WHLR,18.645376653730324,,,,0.2524296536341883,15.445477064660254,16.939999771118163,18.43452247757607,17.644896418546512,0.25242965363418834
2022-01-28,16.5,17.0,16.100000381469727,17.0,17.0,3930,WHLR,19.72134071144592,,,,0.47849231824393496,15.665152924981978,17.059999847412108,18.454846769842238,16.35225011613021,0.478492318243935
2022-01-31,17.399999618530273,17.549999237060547,16.799999237060547,17.5,17.5,2650,WHLR,26.426129070634783,,,,0.5881157801886873,16.031641934803,17.279999923706054,18.528357912609106,14.44858789831888,0.5881157801886874
2022-02-01,17.600000381469727,17.899999618530273,17.399999618530273,17.799999237060547,17.799999237060547,630,WHLR,31.46085354444663,,,,0.7082733150173625,16.031641934803,17.279999923706054,18.528357912609106,14.44858789831888,0.7082733150173626
2022-02-02,17.899999618530273,18.100000381469727,17.299999237060547,18.100000381469727,18.100000381469727,4570,WHLR,46.60784828270148,,,,0.7921207252152129,15.98493508800676,17.320000076293944,18.655065064581127,15.41645476219715,0.7921207252152129
2022-02-03,18.299999237060547,19.899999618530273,18.200000762939453,19.899999618530273,19.899999618530273,2160,WHLR,57.550861183871234,,,,0.9650499467606451,16.081717961848117,18.059999847412108,20.0382817329761,21.90788374616146,0.9650499467606451
2022-02-04,20.0,20.0,18.799999237060547,19.0,19.0,710,WHLR,54.03227525616985,,,,0.6538068843529926,16.704551270258147,18.45999984741211,20.215448424566073,19.01894465508414,0.6538068843529926
2022-02-07,19.100000381469727,19.40999984741211,19.0,19.200000762939453,19.200000762939453,610,WHLR,49.940219774445396,,,,0.6313066660345875,17.276845178469127,18.8,20.323154821530874,16.20377469713695,0.6313066660345876
2022-02-08,19.100000381469727,19.100000381469727,17.799999237060547,18.299999237060547,18.299999237060547,1400,WHLR,49.569401388555235,0.36805125549746265,,,0.26854468074666055,17.60385186031797,18.9,20.196148139682027,13.715853329968555,0.26854468074666066
2022-02-09,18.799999237060547,20.100000381469727,18.799999237060547,19.5,19.5,710,WHLR,64.1241731527573,0.44335873273629645,,,0.6496962302149877,18.111168478069875,19.179999923706056,20.248831369342238,11.145270593198799,0.6496962302149878
2022-02-10,19.5,19.899999618530273,19.200000762939453,19.5,19.5,1700,WHLR,63.42902218081916,0.49730779629679134,,,0.7258768174636778,18.214561634762894,19.1,19.98543836523711,9.271605918713163,0.7258768174636778
2022-02-11,19.200000762939453,19.700000762939453,18.5,19.100000381469727,19.100000381469727,1040,WHLR,64.37006086363509,0.5019994543455084,,,0.48863654500274156,18.239999459006192,19.120000076293945,20.000000693581697,9.205027340756414,0.4886365450027416
2022-02-14,19.5,19.84000015258789,19.399999618530273,19.600000381469727,19.600000381469727,1370,WHLR,65.42173631715902,0.5398405031945579,,,0.7076137542538279,18.23667176843041,19.2,20.16332823156959,10.034669078849905,0.7076137542538279
2022-02-15,19.829999923706055,20.649999618530273,19.799999237060547,20.399999618530273,20.399999618530273,980,WHLR,66.05107190764825,0.6271536230190762,,,0.9575901583143505,18.76770951883347,19.620000076293945,20.47229063375442,8.687977106485976,0.9575901583143505
2022-02-16,20.6299991607666,21.100000381469727,20.600000381469727,21.0,21.0,1170,WHLR,80.77787960444287,0.7362775664402079,,,0.8940032495231263,18.5494531010936,19.920000076293945,21.29054705149429,13.760511746497246,0.8940032495231263
2022-02-17,21.0,21.0,19.799999237060547,20.350000381469727,20.350000381469727,1880,WHLR,73.1868159032036,0.7615310845490519,,,0.5977251384542973,18.75973737171995,20.09000015258789,21.42026293345583,13.24303405439828,0.5977251384542973
2022-02-18,20.0,20.5,19.600000381469727,20.100000381469727,20.100000381469727,1470,WHLR,64.53508355189776,0.7526951675739362,0.1717823693902818,0.5809127981836544,0.3954465448814067,19.381375129614476,20.29000015258789,21.198625175561304,8.956382613506522,0.39544654488140674
2022-02-22,19.700000762939453,20.700000762939453,19.700000762939453,20.299999237060547,20.299999237060547,820,WHLR,65.02118552346273,0.7531490425542522,0.13778899549647816,0.615360047057774,0.3926163995081921,19.824690146188274,20.429999923706056,21.035309701223838,5.9256953478047505,0.3926163995081922
2022-02-23,20.829999923706055,20.829999923706055,18.5,19.899999618530273,19.899999618530273,1980,WHLR,49.80993860183363,0.7130129460600116,0.07812231920179002,0.6348906268582216,0.2101992613326411,19.588110328888032,20.329999923706055,21.071889518524078,7.298471201201857,0.21019926133264122
2022-02-24,18.600000381469727,19.899999618530273,18.600000381469727,19.700000762939453,19.700000762939453,1190,WHLR,40.14490095311093,0.6574874580922128,0.01807746498719287,0.6394099931050199,0.1211055906968972,19.58173830168103,20.070000076293944,20.55826185090686,4.865588168976993,0.12110559069689741
