Date,Ticker,Full_Article_Sentiment,Summary_Sentiment,change_in_full_sentiment,change_in_summary_sentiment,rolling_avg_full_sentiment,rolling_avg_summary_sentiment,volatility_full_sentiment,volatility_summary_sentiment
2023-06-29,AHT,0.9978,0.8859,,,0.9978,0.8859,,
2023-06-29,BDN,0.9829,0.5106,,,0.9829,0.5106,,
2023-06-29,CLDT,0.9987,0.296,,,0.9987,0.296,,
2023-06-29,DRM:CA,0.9983,0.5667,,,0.9983,0.5667,,
2023-06-29,ESRT,-0.9982,-0.6901,,,-0.9982,-0.6901,,
2023-06-29,GLPI,0.9979,0.6597,,,0.9979,0.6597,,
2023-06-29,GMRE,0.9991,0.86695,,,0.9991,0.86695,,
2023-06-29,HT.PR.C,0.9994,0.9554,,,0.9994,0.9554,,
2023-06-29,NLY,0.9999,0.743,,,0.9999,0.743,,
2023-06-29,VNO.PR.L,0.9991,0.9484,,,0.9991,0.9484,,
2023-06-30,ADC,0.9996,0.902,,,0.9996,0.902,,
2023-06-30,AHT,0.9953,0.7666,-0.0025000000000000577,-0.11930000000000007,0.99655,0.8262499999999999,0.0017677669529664489,0.08435783899555513
2023-06-30,BRX,0.9981,0.9231,,,0.9981,0.9231,,
2023-06-30,MAC,0.9888,0.8316,,,0.9888,0.8316,,
2023-06-30,O,0.9925,0.9218,,,0.9925,0.9218,,
2023-06-30,SRC,0.9998,0.9711,,,0.9998,0.9711,,
2023-06-30,UHT,0.9995,0.9837,,,0.9995,0.9837,,
2023-07-03,MAA,0.9996,0.7533,,,0.9996,0.7533,,
2023-07-03,NLY,0.9972,-0.2815,-0.0027000000000000357,-1.0245,0.99855,0.23075,0.0019091883092037427,0.7244308973256179
2023-07-03,VICI,0.99395,0.69865,,,0.99395,0.69865,,
2023-07-04,FCPT,0.9998,0.9423,,,0.9998,0.9423,,
2023-07-05,BXP,0.998,0.9186,,,0.998,0.9186,,
2023-07-05,FCPT,0.9967,0.9432,-0.0030999999999999917,0.0009000000000000119,0.9982500000000001,0.94275,0.0021920310216783307,0.0006363961030679405
2023-07-05,FRT,0.9997,0.9468,,,0.9997,0.9468,,
2023-07-05,MAA,0.9963,-0.3262,-0.0033000000000000806,-1.0795,0.99795,0.21355,0.002333452377915664,0.763321770290878
2023-07-05,PLD,0.9993,0.972,,,0.9993,0.972,,
2023-07-05,TCN,0.9987,0.8405,,,0.9987,0.8405,,
2023-07-06,ABR,0.9039,0.6908,,,0.9039,0.6908,,
2023-07-06,EFC,0.9997,0.9587,,,0.9997,0.9587,,
2023-07-06,PEAK,0.9951,0.80615,,,0.9951,0.80615,,
2023-07-07,ELS,0.9981500000000001,0.8545499999999999,,,0.9981500000000001,0.8545499999999999,,
2023-07-07,FRT,0.9993,0.951,-0.00040000000000006697,0.0041999999999999815,0.9995,0.9489,0.00028284271247470564,0.0029698484809834867
2023-07-07,HTIA,0.9986,0.7906,,,0.9986,0.7906,,
2023-07-07,KMMPF,0.9919,0.5454,,,0.9919,0.5454,,
2023-07-07,ORC,0.9044,-0.5719,,,0.9044,-0.5719,,
2023-07-07,REXR,0.9994,0.962,,,0.9994,0.962,,
2023-07-08,NNN,0.9995,0.5945,,,0.9995,0.5945,,
2023-07-09,IIPR,0.998,0.836,,,0.998,0.836,,
2023-07-10,AGNCM,0.9984,0.798,,,0.9984,0.798,,
2023-07-10,APLE,0.9972,0.8225,,,0.9972,0.8225,,
2023-07-10,IIPR,0.9966,0.5452,-0.0013999999999999568,-0.29079999999999995,0.9973000000000001,0.6906,0.0009899494936611753,0.20562665196904797
2023-07-10,IVR,-0.9688,-0.8672,,,-0.9688,-0.8672,,
2023-07-10,KRC,0.9933,0.9503,,,0.9933,0.9503,,
2023-07-10,KREF,0.9979,0.8271,,,0.9979,0.8271,,
2023-07-10,VNO,0.9929,0.9004,,,0.9929,0.9004,,
2023-07-10,WPC,0.9998,0.7841,,,0.9998,0.7841,,
2023-07-11,ADC,0.9989,0.4351,-0.0007000000000000339,-0.46690000000000004,0.99925,0.66855,0.000494974746830568,0.33014815613599907
2023-07-11,ARE,0.9967,0.9404,,,0.9967,0.9404,,
2023-07-11,ARESF,0.9991,0.6705,,,0.9991,0.6705,,
2023-07-11,EQIX,0.9973,-0.3919,,,0.9973,-0.3919,,
2023-07-11,LADR,0.9977,0.8278,,,0.9977,0.8278,,
2023-07-11,O,0.9973,0.9761,0.0047999999999999154,0.054300000000000015,0.9949,0.94895,0.0033941125496953686,0.03839589821842954
2023-07-11,PCH,0.9492,-0.7862,,,0.9492,-0.7862,,
2023-07-11,PDM,0.991,0.5106,,,0.991,0.5106,,
2023-07-11,UDR,0.9996,0.9818,,,0.9996,0.9818,,
2023-07-11,VNO.PR.M,0.9986,0.9346,,,0.9986,0.9346,,
2023-07-12,DLR,0.9972,0.6217,,,0.9972,0.6217,,
2023-07-12,EQIX,0.9991,0.9677,0.0018000000000000238,1.3596,0.9982,0.2879,0.0012727922061358025,0.9613823797012301
2023-07-12,INVH,0.9897,0.8737,,,0.9897,0.8737,,
2023-07-12,SAFE,0.9991,0.932,,,0.9991,0.932,,
2023-07-13,CLDT,0.9996,0.9442,0.0009000000000000119,0.6482000000000001,0.99915,0.6201,0.0006363961030679405,0.4583466155651201
2023-07-13,CUBE,0.9981,0.7003,,,0.9981,0.7003,,
2023-07-13,MPW,0.9959,0.8957,,,0.9959,0.8957,,
2023-07-13,STAG,0.9987,0.9578,,,0.9987,0.9578,,
2023-07-14,EPRT,0.9995,0.6652,,,0.9995,0.6652,,
2023-07-14,O,0.9977,0.9169,0.00040000000000006697,-0.05919999999999992,0.9958333333333332,0.9382666666666667,0.002893671255228067,0.03285610039754159
2023-07-14,PLD,0.9994,0.3506,9.999999999998899e-05,-0.6214,0.99935,0.6613,7.071067811864696e-05,0.4393961538293206
2023-07-14,PSA,0.9987,0.8684499999999999,,,0.9987,0.8684499999999999,,
2023-07-14,SPG,0.9970749999999999,0.26065,,,0.9970749999999999,0.26065,,
2023-07-14,WPC,0.9966,0.8779,-0.0031999999999999806,0.0938,0.9982,0.831,0.0022627416997968992,0.06632661607529819
2023-07-16,CTO,0.9985,0.4497,,,0.9985,0.4497,,
2023-07-16,EGP,0.9994,0.9786,,,0.9994,0.9786,,
2023-07-16,EPRT,0.9992,0.9324,-0.000300000000000078,0.2672,0.99935,0.7988,0.00021213203435598016,0.18893893193304553
2023-07-17,BXMT,0.9999,0.9517,,,0.9999,0.9517,,
2023-07-17,EGP,0.9985,0.9493,-0.0008999999999999009,-0.029299999999999993,0.99895,0.9639500000000001,0.0006363961030678226,0.020718228688765876
2023-07-17,EPR,0.9988,0.7717,,,0.9988,0.7717,,
2023-07-17,NNN,0.9985,0.9255,-0.0010000000000000009,0.33099999999999996,0.9990000000000001,0.76,0.0007071067811865874,0.2340523445727472
2023-07-17,NTST,0.9814,0.8316,,,0.9814,0.8316,,
2023-07-17,SBRA,0.9904,0.9274,,,0.9904,0.9274,,
2023-07-17,SPG,0.9963,0.6645,-0.0007749999999999702,0.40385,0.9966875,0.46257499999999996,0.0005480077554195532,0.28556507358218725
2023-07-17,TRNO,0.9984,0.5859,,,0.9984,0.5859,,
2023-07-17,WSR,0.9952,0.4412,,,0.9952,0.4412,,
2023-07-18,AGNC,0.99935,0.9355,,,0.99935,0.9355,,
2023-07-18,EPR,0.9942,0.9722,-0.0046000000000000485,0.2004999999999999,0.9964999999999999,0.87195,0.0032526911934581135,0.1417749096279027
2023-07-18,GNL,0.9918,0.4939,,,0.9918,0.4939,,
2023-07-18,LAMR,0.9986,0.9382,,,0.9986,0.9382,,
2023-07-18,NET.UN:CA,0.9992,0.8126,,,0.9992,0.8126,,
2023-07-18,OHI,0.9997,0.8993,,,0.9997,0.8993,,
2023-07-18,PLD,0.9982,0.9337,-0.0011999999999999789,0.5831,0.9989666666666667,0.7521,0.0006658328118479458,0.34823614114563123
2023-07-18,REXR,0.9992,0.9114,-0.00019999999999997797,-0.05059999999999998,0.9993,0.9367,0.00014142135623729392,0.03577960312803929
2023-07-18,RQI,0.9987,0.9674,,,0.9987,0.9674,,
2023-07-18,WELL,0.9984,0.8316,,,0.9984,0.8316,,
2023-07-19,HIW,0.9987,0.9878,,,0.9987,0.9878,,
2023-07-19,PSTL,0.9997,0.9413,,,0.9997,0.9413,,
2023-07-19,SKT,0.9960333333333334,0.5620666666666666,,,0.9960333333333334,0.5620666666666666,,
2023-07-20,AFCG,0.9754,-0.4215,,,0.9754,-0.4215,,
2023-07-20,CCI,0.9985,0.831,,,0.9985,0.831,,
2023-07-20,DLR,0.9992,0.9538,0.0020000000000000018,0.33209999999999995,0.9982,0.78775,0.0014142135623730963,0.23483016203205243
